Date,port_lump,sp500_lump,world_lump,port_pac,port_pac_contributions,sp500_pac,world_pac
2007-06-30,23703.35853227367,17645.11013706572,17645.11013706572,15273.504563141158,10200.0,13368.703519727562,13368.703519727564
2007-07-31,23451.22901760338,17092.637159863385,17092.637159863385,15281.855651378459,10400.0,13150.12594341851,13150.125943418514
2007-08-31,23791.65645088718,17311.982815282325,17311.982815282325,15713.656365197985,10600.0,13518.878311290326,13518.87831129033
2007-09-30,25525.717162369743,17982.19693121904,17982.19693121904,16986.28445410621,10800.0,14242.24661476734,14242.246614767342
2007-10-31,27188.487657987956,18226.16144153655,18226.16144153655,18205.735316723934,11000.0,14635.471209875663,14635.471209875666
2007-11-30,25684.759499535052,17520.215872256384,17520.215872256384,17451.625128406176,11200.0,14268.60220193451,14268.60220193451
2007-12-31,25806.91078397412,17322.92579438655,17322.925794386545,17727.44360317915,11400.0,14307.927604084885,14307.927604084887
2008-01-31,23787.651132546853,16275.564340318424,16275.564340318424,16604.479678808384,11600.0,13642.855962147134,13642.855962147138
2008-02-29,23980.63091305259,15854.962805579844,15854.962805579846,16861.25065442951,11800.0,13490.290236258197,13490.290236258203
2008-03-31,23488.4344236716,15713.18128984749,15713.18128984749,16742.93435316043,12000.0,13569.654582878238,13569.654582878242
2008-04-30,25029.80545356033,16462.106374744188,16462.106374744188,17958.241705028493,12200.0,14416.414428834269,14416.414428834274
2008-05-31,25861.93801526028,16710.96579543718,16710.96579543718,18743.693612501527,12400.0,14834.348905842262,14834.348905842264
2008-06-30,24226.224365009275,15314.330271008037,15314.330271008035,17765.800687348776,12600.0,13794.553497408546,13794.553497408548
2008-07-31,23359.065318590892,15176.714555649543,15176.714555649543,17451.13896822297,12800.0,13870.59460962155,13870.594609621552
2008-08-31,23054.96434520787,15411.25126858495,15411.25126858495,17474.64732055347,13000.0,14284.94690927584,14284.946909275843
2008-09-30,20121.627694199346,13959.924899138201,13959.924899138203,15563.288495887267,13200.0,13139.688190547387,13139.68819054739
2008-10-31,16075.76863239622,11653.927178239865,11653.927178239865,12763.175134048339,13400.0,11169.182887715306,11169.182887715306
