date,strategia,nasdaq
1975-05-27,16987.354373679347,13622.081914763085
1975-05-28,16773.72421022596,13538.18771291368
1975-05-29,16688.239743866,13505.481270469814
1975-05-30,17223.061365911108,13723.792942308448
1975-06-02,17542.24380237284,13852.934885070028
1975-06-03,17646.894871273147,13896.204544954073
1975-06-04,17600.873383396964,13880.020084163978
1975-06-05,17680.549696297156,13913.381993818508
1975-06-06,17898.89424255933,14001.249775497528
1975-06-09,17573.895307542847,13876.05673373193
1975-06-10,17314.694435868532,13775.632409909484
1975-06-11,17393.70593194706,13808.994986189487
1975-06-12,17135.925899973667,13708.564255951094
1975-06-13,17313.61828854152,13781.571719094092
1975-06-16,17550.297552028263,13877.708755058007
1975-06-17,17303.96106007574,13782.2280079758
1975-06-18,17316.54931682093,13789.164111868908
1975-06-19,17760.6054666348,13967.907691524411
1975-06-20,18046.361406745316,14082.229420943726
1975-06-23,18266.59868011813,14170.124127769475
1975-06-24,18458.31475483016,14246.459558666036
1975-06-25,18484.02809879128,14258.363734949104
1975-06-26,18544.019263182625,14283.484997997715
1975-06-27,18561.198528970453,14292.086710411098
1975-06-30,18780.07968660428,14378.34419023417
1975-07-01,18477.531280645348,14264.678449950305
1975-07-02,18177.51563667909,14151.006006527858
1975-07-03,18410.64962656016,14243.875967374228
1975-07-07,18149.72000755652,14145.070047550123
1975-07-08,18056.094322339384,14110.70529506378
1975-07-09,18520.961435837547,14294.468967738669
1975-07-10,18657.60697681437,14349.343427073833
1975-07-11,18811.90755443212,14410.829692767544
1975-07-14,18971.12366636761,14473.97310409374
1975-07-15,19148.296750925343,14543.729027296446
1975-07-16,18878.0077596752,14443.260720383563
1975-07-17,18760.919423789772,14400.633115752053
1975-07-18,18708.82059532686,14382.795355785964
1975-07-21,18596.609044934423,14341.81742892468
1975-07-22,18141.855833637717,14168.609941089382
1975-07-23,17671.683013504837,13987.12917072686
1975-07-24,17466.74909731923,13908.120803876414
1975-07-25,17238.152670005322,13819.191217237145
1975-07-28,17023.490464222796,13735.216212460631
