date,2x cash 2x (strategia),2x + put (hold),3x cash 2x,Nasdaq 1x TR,2x nudo
2016-07-20,4279632.785213493,2075654.7183191164,8517052.722194947,1076123.1986905343,1303627.3963204857
2016-07-21,4254794.024058267,2063623.0901445684,8442933.891421933,1072759.6682603818,1295382.975828866
2016-07-22,4294008.064639936,2081670.4210999692,8560868.884189766,1078337.3380689307,1308758.7318996745
2016-07-25,4289539.514619364,2079132.5820419418,8548056.260281596,1077828.0318571338,1307426.900066404
2016-07-26,4307888.721636235,2087369.0890818834,8603789.118049545,1080479.7265772186,1313764.5543176264
2016-07-27,4352908.668863813,2108276.642113614,8739854.636922587,1086798.0232446739,1329033.5707255169
2016-07-28,4375857.036706025,2118827.4584462103,8809732.189127976,1090031.5356467357,1336844.9850010148
2016-07-29,4386490.697601734,2123545.6149475756,8842417.467437081,1091569.3509120485,1340519.4129018437
2016-08-01,4420358.136432122,2139373.278055282,8945625.642532617,1096262.2663726818,1351947.4233653897
2016-08-02,4347514.162400823,2104350.9391889963,8723865.546863148,1086461.6749953404,1327675.3367624371
2016-08-03,4381081.147856069,2119987.4148772922,8825693.100074774,1091141.9911876682,1339016.7264697421
2016-08-04,4390732.154474802,2124230.186033837,8855411.374242999,1092544.6056869216,1342360.9185322386
2016-08-05,4475756.987547085,2164579.542106537,9113860.758936387,1104174.4029356714,1370840.4004711842
2016-08-08,4462767.743531243,2158007.7559758364,9074446.822367186,1102513.068313457,1366614.6458012536
2016-08-09,4481762.112353536,2166780.417501141,9132985.044432376,1105149.0391842935,1373049.1283628403
2016-08-10,4448227.397080662,2150231.7585819936,9030711.648061313,1100755.1828022562,1362030.3796654053
2016-08-11,4485396.626776927,2167842.7672385033,9144456.381311184,1105819.2222787158,1374462.4686224372
2016-08-12,4492144.901801352,2170791.777655599,9165472.61103415,1106795.2467360853,1376787.837401423
2016-08-15,4538065.450799096,2192746.40125943,9306513.376175193,1112982.7862240248,1392080.6301457658
2016-08-16,4481935.850339906,2165225.1299272394,9133902.034489004,1105625.3528708504,1373573.5840341756
2016-08-17,4484011.311445736,2165899.787065737,9140615.0522615,1105979.591419255,1374352.922765279
2016-08-18,4501861.8154448625,2174214.5634312117,9195621.326942045,1108436.2647957029,1380357.6309524965
2016-08-19,4498234.481492823,2171788.643288541,9185386.785513042,1108088.248174806,1379389.511194457
2016-08-22,4507125.2404155815,2175252.169017055,9213778.680626296,1109430.4096032658,1382629.7915318187
2016-08-23,4530809.868683915,2185867.8123070337,9287577.220920287,1112731.4233912493,1390756.078570441
2016-08-24,4462560.549609207,2152335.6029476575,9078004.204875505,1103790.5939771023,1368304.4481724773
2016-08-25,4452715.688281099,2146522.1007457287,9049240.426627088,1102655.5312432605,1365389.8558797685
2016-08-26,4462866.480994967,2150949.1472910712,9080681.86397632,1104103.3618975636,1368875.2415115465
