Date,100% SPY,90/10 Healthcare,90/10 Consumer Staples,90/10 Utilities
2005-07-31,11009.275107024678,11186.309082669695,10860.058689277383,11242.906636217242
2005-08-31,10906.06893577763,11088.993232488125,10750.554399182656,11158.705688901875
2005-09-30,10993.593948683501,11160.708746640648,10842.554227983806,11294.274150693282
2005-10-31,10733.58614841963,10887.920011884713,10604.066343329505,10970.681588332893
2005-11-30,11205.352796697212,11327.456940165932,11037.210552026032,11393.18766228017
2005-12-31,11183.910034567632,11351.154790297789,11019.025632307168,11385.13110184333
2006-01-31,11452.478614475642,11609.483731595039,11262.374872748638,11658.792017020822
2006-02-28,11518.052195670754,11683.496552765857,11329.579157456577,11735.46578522148
2006-03-31,11708.147293987327,11837.754934499504,11508.608519826717,11843.1346761461
2006-04-30,11856.045712174246,11930.606525697978,11651.1829448885,11996.997033232856
2006-05-31,11498.923830363574,11582.765437293976,11331.831539682189,11697.188905879764
2006-06-30,11528.915426863368,11610.188895096922,11376.911320054847,11755.113664131872
2006-07-31,11580.550864270432,11724.001004505617,11439.106406625042,11867.785401245257
2006-08-31,11833.267070244385,11988.584809431299,11705.858203743062,12134.950249857446
2006-09-30,12152.783238869444,12296.69203199479,11992.89089699311,12400.915914099078
2006-10-31,12535.797497345662,12645.909968683613,12356.315728840202,12823.125146033699
2006-11-30,12785.07047811158,12868.617312403669,12571.513351312264,13088.373153744884
2006-12-31,12956.029247605022,13036.717676822307,12752.09446242917,13255.741033198388
2007-01-31,13150.88652845852,13254.006427413984,12949.616602312033,13425.464632734689
2007-02-28,12892.901461245448,12988.943391009027,12700.294254683738,13277.56260057048
2007-03-31,13042.315933780978,13126.120988011367,12857.429156109012,13472.177260589842
2007-04-30,13620.036166307678,13747.542532115624,13408.879094492724,14077.301455583023
2007-05-31,14082.030585077528,14188.912002192483,13840.213880975147,14501.395379651882
2007-06-30,13876.139852878026,13952.889534219084,13631.671117225365,14229.334996269767
2007-07-31,13441.674313301046,13492.198269984183,13208.11147605462,13768.823408358752
2007-08-31,13614.16805049347,13679.374822410564,13389.557609950654,13950.457735492586
2007-09-30,14141.225389998262,14198.23653234938,13916.137078217665,14489.936870512602
2007-10-31,14333.079429899857,14398.37228199643,14107.079322034,14779.980459068915
2007-11-30,13777.922824372421,13917.874310751333,13640.585396876097,14292.741665443427
2007-12-31,13622.773624914815,13735.32375287629,13490.656057162663,14149.677117633102
2008-01-31,12799.127079199357,12926.79559346498,12681.032022201476,13269.596236006646
2008-02-29,12468.365430616175,12591.518870500739,12380.356526133583,12900.057111045247
2008-03-31,12356.868243827726,12428.917255769422,12317.553391291962,12826.655326620226
2008-04-30,12945.824001917616,12971.983968329461,12838.59583142146,13443.92182901096
2008-05-31,13141.527406340594,13173.289924646666,13050.800668026666,13684.335773341127
2008-06-30,12043.211232061434,12127.860073770993,11992.586766722863,12681.992471493371
2008-07-31,11934.99003664611,12088.207306248127,11923.221552373698,12465.947414033022
2008-08-31,12119.430043200085,12282.02324841335,12121.133089117055,12612.922307035282
2008-09-30,10978.104910164573,11152.687631000108,11078.754830127744,11398.430446844175
2008-10-31,9164.665003751812,9374.510281907325,9295.54831632833,9568.972098769105
2008-11-30,8526.743576976442,8729.245479069048,8719.248114157477,9050.122102135272
2008-12-31,8610.274886634374,8880.291548143841,8794.592925769823,9092.261726959301
2009-01-31,7903.248557060684,8230.335296397907,8082.944851072183,8453.625452522087
2009-02-28,7054.052563585191,7327.607338208559,7240.278488741848,7521.414542116928
2009-03-31,7641.733163683899,7915.314045504433,7807.071308002132,8072.636570528542
2009-04-30,8400.902107086595,8597.280140654932,8529.970668807215,8769.920671956905
2009-05-31,8891.969331703733,9109.967889229552,9021.270126710913,9254.913921574756
2009-06-30,8886.144019787745,9130.96685843492,9018.053272648474,9316.931365640172
2009-07-31,9549.104731582727,9794.836863527782,9682.634195062405,9963.268739437883
2009-08-31,9901.838716106033,10144.607178346476,10013.411411420424,10294.448612865706
2009-09-30,10252.935202662522,10468.179153822402,10365.87745853114,10629.489520474099
2009-10-31,10055.815287840289,10264.809463714271,10205.011018346062,10407.154320072103
2009-11-30,10675.324070304308,10935.30098228374,10805.040551751228,11030.191726005463
2009-12-31,10879.23487335123,11143.121384192935,10985.908620110637,11291.536766770774
2010-01-31,10483.856260926193,10796.417052290435,10617.882426253378,10863.634080810743
2010-02-28,10810.89297492468,11095.971780853617,10949.67377209606,11139.106573499823
2010-03-31,11469.058654679453,11724.76135733059,11587.980337070398,11769.373227175058
2010-04-30,11646.48678544118,11829.878941128765,11734.06915888479,11967.117654930924
2010-05-31,10721.118268763488,10909.302193787935,10843.226189100911,11052.312821798161
2010-06-30,10166.3986611737,10387.06355464977,10313.748235071895,10543.212549547405
2010-07-31,10860.775443383684,11028.236760434727,11006.24409040101,11272.192897280987
2010-08-31,10372.248580353968,10567.94094890599,10543.746630733714,10854.21436797416
2010-09-30,11301.131993883224,11515.679597628787,11452.722633859426,11734.187463639606
2010-10-31,11732.857088534589,11934.221004268551,11882.191205635154,12139.67611577784
2010-11-30,11732.857088534589,11894.529235106354,11861.503128927461,12091.85480858245
2010-12-31,12517.226578154843,12661.913705007151,12624.71545114983,12845.369516618583
2011-01-31,12808.879399917221,12932.380108489431,12867.262517616402,13127.013243322457
2011-02-28,13253.82890823979,13376.721589092758,13306.670317520695,13547.128568074935
2011-03-31,13255.421611429396,13404.348212313565,13325.27625439167,13552.306089520502
2011-04-30,13639.31782929686,13844.708728820224,13745.402505974402,13963.483271882596
2011-05-31,13486.355610406485,13745.785839284188,13644.579737746863,13861.961642923445
2011-06-30,13258.842936968573,13522.949988948441,13399.664554994994,13654.719546801365
2011-07-31,12993.612065682284,13221.143187105143,13142.170734877052,13400.070082237595
2011-08-31,12279.275726188043,12546.02054428749,12502.085981627382,12794.194759987717
2011-09-30,11426.845052078408,11711.751378165729,11687.087524130635,12030.772996606356
2011-10-31,12674.048115961537,12916.569527708605,12874.84469127121,13217.156575854095
2011-11-30,12622.542085688627,12884.611359602824,12869.167663025606,13189.502759019517
2011-12-31,12754.429855062022,13048.506852643088,13029.666928854895,13369.14116831321
2012-01-31,13345.908056828446,13631.057792062133,13540.042501935852,13833.177893675165
2012-02-29,13925.193120238939,14169.607065150889,14118.672542421265,14365.566865067249
2012-03-31,14373.07718418836,14645.9906120009,14570.948160983506,14793.57072856738
2012-04-30,14277.123785090986,14555.08446696299,14489.387950670063,14740.084247482555
2012-05-31,13419.7049636794,13721.565590655307,13698.519481899713,13979.011283988712
2012-06-30,13964.291992664806,14305.588785471082,14247.635995742683,14547.303912442792
2012-07-31,14129.486172051365,14471.635845888068,14437.858300638092,14745.74540704191
2012-08-31,14483.46445594155,14810.789376611632,14748.225568915817,14980.310508565413
2012-09-30,14850.634303999655,15208.876766031251,15108.771922147556,15333.508117337144
2012-10-31,14580.37646327117,14961.509926794026,14844.133665889669,15117.857015313697
2012-11-30,14662.896406403703,15045.425920373862,14950.024884677998,15106.679641715113
2012-12-31,14793.898234627877,15156.68299663416,15031.514121441429,15224.26292107336
2013-01-31,15551.207697056703,15978.22662648069,15810.012963774965,15996.626737190232
2013-02-28,15749.620687781002,16181.74241172918,16048.60587348601,16221.684092263928
2013-03-31,16347.655849491142,16844.642028408605,16679.156980932796,16869.81907287812
2013-04-30,16661.73094584471,17191.331483561633,17019.67064653786,17281.020658646426
2013-05-31,17055.107729448308,17581.55622507809,17329.70686856927,17428.192782044403
2013-06-30,16827.518407169395,17363.530097376977,17118.89082569978,17241.956202785408
2013-07-31,17697.10846726806,18305.07631295864,17987.11451744097,18115.430515335236
2013-08-31,17166.330174936546,17743.49092600203,17415.858815362055,17528.494782571826
2013-09-30,17709.589287637617,18305.99582778495,17931.749162986842,18041.27881205891
2013-10-31,18529.66021469241,19146.072620761173,18797.51304360744,18858.677970841647
2013-11-30,19078.836219742872,19756.851267706388,19324.823191728177,19310.73655856524
2013-12-31,19573.480058460173,20221.137385965278,19784.862926176684,19775.41086017503
2014-01-31,18883.550899907168,19624.634705067896,19051.906480091675,19218.734554828538
2014-02-28,19743.05715793663,20561.70859695408,19905.692881827275,20069.062835304492
2014-03-31,19906.83681780292,20673.98027857463,20099.95722019751,20293.546451942966
2014-04-30,20045.218834431937,20781.078298991735,20284.345235058274,20518.43758786532
2014-05-31,20510.39169150454,21278.474759830777,20743.57320892996,20910.143416825485
2014-06-30,20933.827761493496,21719.376000883538,21118.879415792555,21400.098558929923
2014-07-31,20652.522533266096,21469.98719279265,20790.13269448065,20972.84889885915
2014-08-31,21467.54060945186,22343.119908489443,21625.263955642153,21823.763660650664
2014-09-30,21171.369487828466,22089.71263962519,21372.27803338392,21510.32899307943
2014-10-31,21669.981148366875,22698.050911401093,21903.246162120548,22156.313988994414
2014-11-30,22265.29378306228,23344.97203611272,22572.118928454576,22723.023298204324
2014-12-31,22208.820509716785,23247.74872421836,22497.58943279392,22767.949389691414
2015-01-31,21550.78523253566,22697.944485638327,21881.031555034417,22240.47858604992
2015-02-28,22762.037999110875,23929.658804185652,23074.153331995705,23148.68577673925
2015-03-31,22404.545813808618,23629.976979392755,22702.129970327103,22800.44066326931
2015-04-30,22624.874400421908,23790.508228524075,22881.15818899164,22986.275631946668
2015-05-31,22915.74182042391,24206.698745221674,23164.80898550985,23264.67108857814
2015-06-30,22450.27232238224,23773.733729006966,22699.281748850444,22687.739462930844
2015-07-31,22957.40892674302,24335.688451184567,23297.697649301444,23295.65155550075
2015-08-31,21558.149493908608,22783.73930972179,21881.176853761914,21944.705598761495
2015-09-30,21008.073611556018,22095.835237868654,21395.77099096294,21523.81123527072
2015-10-31,22795.00894601473,23950.092337117698,23145.867457248638,23159.85559706027
2015-11-30,22878.32922250004,24014.006814438017,23196.59818740303,23178.632838533144
2015-12-31,22482.936673922093,23717.1361297169,22916.782570545267,22877.62601031269
2016-01-31,21363.5848722662,22440.90526863297,21923.708842485874,22000.893698043972
2016-02-29,21345.945684441303,22413.42688490913,21916.333125403926,22038.75751317399
2016-03-31,22781.797473056937,23792.38896824324,23336.770266497915,23556.54969274605
2016-04-30,22871.588106250027,23970.727860262912,23377.002197695118,23563.52956331388
2016-05-31,23260.66558668118,24396.59104039969,23746.393342286097,23958.61439660212
2016-06-30,23341.515182343614,24500.830596074542,23969.82951508086,24262.053008417253
2016-07-31,24192.815037188626,25437.021115286912,24711.82735977032,25006.511644870767
2016-08-31,24221.788299086566,25344.227574879646,24720.71363907461,24853.322658712936
2016-09-30,24223.185896135452,25327.420592403196,24676.82527830915,24865.606254077797
2016-10-31,23803.235855252748,24717.16702618751,24276.709604163563,24515.17648626898
2016-11-30,24680.104568927916,25574.32681150918,24945.902611613885,25136.70232170668
2016-12-31,25180.420421879204,26048.693787066237,25478.106758517122,25730.25845229043
2017-01-31,25631.010090371976,26531.833415010395,25931.555379477584,26174.31907559331
2017-02-28,26638.094235071447,27657.775221648855,26974.60655313359,27244.289494516124
2017-03-31,26671.389695250182,27670.03788799411,26991.891212955266,27269.829779739674
2017-04-30,26936.134792063644,27964.509845140707,27263.005168760472,27532.921229150226
2017-05-31,27316.281189359077,28335.23313319408,27685.055602493136,28011.25196078519
2017-06-30,27490.425365231727,28663.255277348326,27771.91826108514,28075.160077842487
2017-07-31,28055.464694050675,29203.962050978615,28301.414698151642,28664.53707060036
2017-08-31,28137.321674480536,29346.92435366022,28341.438592950075,28850.489773633602
2017-09-30,28704.276228884988,29893.850309956513,28830.118896251337,29263.52140898871
2017-10-31,29380.657455931396,30471.795703991822,29389.460934383616,30006.089622897664
