date,ffr,sp500_ret,nasdaq_ret,cpi,cpi_yoy,ffr_real,ffr_trailing_change,sp500_ret_fwd12m,sp500_ret_fwd24m,nasdaq_ret_fwd12m,nasdaq_ret_fwd24m,regime_A,regime_B,regime_C
2000-05-31,6.27,-0.02838794000109479,-0.11846299398518978,171.5,3.1889290012033777,3.081070998796622,1.5299999999999994,-0.09352963209328757,-0.21911694410262805,-0.3745417190081811,-0.5174787836896156,6-8%,Rialzo (≥+1pp),2-4%
2000-06-30,6.53,0.03163480157163545,0.16681367543630077,172.4,3.73044524669075,2.79955475330925,1.7700000000000005,-0.14231475976979358,-0.2878804658143992,-0.4509144591253502,-0.625241601424031,6-8%,Rialzo (≥+1pp),2-4%
2000-07-31,6.54,0.008503424626300715,-0.04958250315345114,172.8,3.659268146370742,2.880731853629258,1.5499999999999998,-0.17217052115583265,-0.36985225388657605,-0.4575832568818132,-0.6418118024498766,6-8%,Rialzo (≥+1pp),2-4%
2000-08-31,6.5,0.009397110960247312,0.11725709762336156,172.8,3.4111310592459754,3.0888689407540246,1.4299999999999997,-0.1966556972907224,-0.3686094363665009,-0.5673042450523869,-0.6824409865286519,6-8%,Rialzo (≥+1pp),2-4%
2000-09-30,6.52,-0.010796505983182159,-0.1262163218141218,173.7,3.4544371649791517,3.065562835020848,1.2999999999999998,-0.279228627470672,-0.39208594800361474,-0.5885969941721665,-0.6758115749112672,6-8%,Rialzo (≥+1pp),2-4%
2000-10-31,6.51,-0.052142297605667354,-0.08192678669784692,174.0,3.4482758620689724,3.0617241379310274,1.3099999999999996,-0.2153664435089082,-0.3674117900221697,-0.4943798604453583,-0.5991529381126208,6-8%,Rialzo (≥+1pp),2-4%
2000-11-30,6.51,-0.007725640742818896,-0.2283933803382182,174.1,3.446226975638722,3.0637730243612777,1.0899999999999999,-0.16930007357426968,-0.320247650144324,-0.2511154264927653,-0.4219578533560888,6-8%,Rialzo (≥+1pp),2-4%
2000-12-31,6.4,-0.033200737601553065,-0.04842003003968509,174.0,3.3868092691621943,3.013190730837806,1.1000000000000005,-0.12817641639662114,-0.30418182711160646,-0.20443960962960117,-0.4510191306318292,6-8%,Rialzo (≥+1pp),2-4%
2001-01-31,5.98,0.004550076512914503,0.12294933557992627,175.1,3.7322274881516515,2.247772511848349,0.5300000000000002,-0.13470888212646936,-0.30887481714544474,-0.2970487343028193,-0.5124576572412296,4-6%,Stabile (−1÷+1pp),2-4%
2001-02-28,5.49,-0.021362577959464835,-0.22330806547992854,175.8,3.5335689045936425,1.9564310954063577,-0.2400000000000002,-0.1454650273182928,-0.339090636252932,-0.18915984909393235,-0.36637953256258526,4-6%,Stabile (−1÷+1pp),0-2%
