regime,bucket,asset,cont_n,cont_mean_m,cont_mean_ann,cont_median_ann,cont_std_ann,cont_sharpe,cont_p5_ann,cont_p95_ann,cont_hit_rate,fwd12_n,fwd12_median,fwd12_mean,fwd12_p5,fwd12_p95,fwd12_hit_rate,fwd12_cagr_median,fwd24_n,fwd24_median,fwd24_mean,fwd24_p5,fwd24_p95,fwd24_hit_rate,fwd24_cagr_median
regime_B,Stabile (−1÷+1pp),SP500,341,0.011144249994659758,0.14224008870861282,0.16570324641392586,0.10605941999581538,1.1525622968090516,-0.36978562040072915,0.9443035619049698,0.6832844574780058,333,0.12798939810868548,0.1175192758111775,-0.08861319467849846,0.31441155526051506,0.8078078078078078,0.12798939810868548,325,0.2428297832431905,0.24839106572592765,-0.25428158822692465,0.6100556066586673,0.8738461538461538,0.11482275866757874
regime_B,Stabile (−1÷+1pp),NASDAQ,341,0.014864561711285198,0.19370510321290269,0.19686772489418947,0.18591061576920279,0.9343474147197032,-0.6018641151329112,2.072331065664019,0.6422287390029325,333,0.14441793900254862,0.14918411665961942,-0.21849393087230987,0.520375274667651,0.7987987987987988,0.14441793900254862,326,0.31025516058368885,0.3120408300326386,-0.36455092966193686,0.8948630870902359,0.8374233128834356,0.14466377621714255
regime_B,Rialzo (≥+1pp),SP500,159,0.003644779996497081,0.04462487176022156,0.10012014606656905,0.11665348136568972,0.21109418657662338,-0.4829830140247189,0.7635363838681322,0.5911949685534591,159,0.1548414695780269,0.11532141069610435,-0.21121286370688858,0.3436655706957145,0.7735849056603774,0.1548414695780269,159,0.3093330393871512,0.2829464506908727,-0.3220111442678228,0.695266384385196,0.8364779874213837,0.14426091403453567
regime_B,Rialzo (≥+1pp),NASDAQ,159,-0.002390822420198687,-0.028315601352929543,-0.029514077994595822,0.22490884500381092,-0.21482303798283645,-0.7505714130388437,1.5414019958830303,0.48427672955974843,159,0.15075581798438198,0.10068161156147759,-0.407682702191801,0.41857410160399877,0.7547169811320755,0.15075581798438198,159,0.33607174989081723,0.2725924255182016,-0.5203008812030679,0.7423658568643261,0.7861635220125787,0.15588569931927831
regime_C,<0% (accomodante),SP500,252,0.009225263299337481,0.11649648672456347,0.18796703744315013,0.1293368340732987,0.746086661359565,-0.5291871609564254,0.9643029090552175,0.6746031746031746,252,0.13790588683189586,0.12304240142974504,-0.11747402715861688,0.33331201921865117,0.8611111111111112,0.13790588683189586,252,0.2306418374065038,0.24910564220904793,-0.013956449661853875,0.5305505835758572,0.9365079365079365,0.10934297555197237
regime_C,<0% (accomodante),NASDAQ,252,0.01249964612856753,0.160749649491007,0.19281612803347592,0.18446993366324224,0.762995067521147,-0.662755846980404,1.8676782624237092,0.623015873015873,252,0.16280667456923137,0.15537868866340393,-0.1862419345534858,0.445672955364417,0.8849206349206349,0.16280667456923137,252,0.3008018119126261,0.3106790999976506,-0.0646577964910592,0.6563135060931788,0.9007936507936508,0.14052698868226088
regime_C,0-2%,SP500,152,0.0052747219206385546,0.06516563364171657,0.09105699316623328,0.12547774533250206,0.3599493561350873,-0.4924001684095901,1.0588864550895796,0.6052631578947368,152,0.10799998690123158,0.08285348600653308,-0.2196897285676357,0.3020595691136911,0.7631578947368421,0.10799998690123158,152,0.22781857593883426,0.2194487631143025,-0.23321070597678195,0.5447529138215277,0.8421052631578947,0.10806975228946403
regime_C,0-2%,NASDAQ,152,0.005845813745281402,0.07244975186514613,0.11377535882092138,0.21253589826212754,0.2467806723194503,-0.7156571561979475,2.0753032173871198,0.5789473684210527,152,0.15149068854330572,0.11027430740699629,-0.3080142893042815,0.45863095636279655,0.743421052631579,0.15149068854330583,152,0.2857455033681342,0.2850074538813756,-0.37500066473720334,0.8429513097718693,0.8092105263157895,0.13390718463555662
regime_C,2-4%,SP500,148,0.009131721847361987,0.11525531115184617,0.15193795068385896,0.12423586646098761,0.7667295593882152,-0.4533696155724587,0.9221241923521206,0.6351351351351351,142,0.15248982120450316,0.11870870162270707,-0.17216072558675846,0.3800822500385568,0.6830985915492958,0.15248982120450316,142,0.3073019413937641,0.23107219168129933,-0.36731900148164315,0.72699343231751,0.676056338028169,0.14337305434130476
regime_C,2-4%,NASDAQ,148,0.008994681531560534,0.11343924489468038,0.14958617696361176,0.25574866702404075,0.36535574547450894,-0.7944075099404169,2.9361141361600356,0.5878378378378378,142,0.16234565413974877,0.1337743230913321,-0.45074265000961894,0.5826040197930061,0.6830985915492958,0.16234565413974877,142,0.33539503866656173,0.23548129279036079,-0.5539240854880654,1.0363776672639475,0.6549295774647887,0.15559293813460173
regime_C,>4% (restrittivo),SP500,109,0.015211292363929619,0.19860829279599868,0.19499127710324493,0.11513814029657085,1.5512521944157036,-0.4500560361986855,1.1083596820355424,0.7064220183486238,103,0.19538543931074215,0.18637246158327617,-0.0869532004039809,0.42939800694596547,0.8252427184466019,0.19538543931074215,91,0.32299774161354944,0.38676859173814515,0.1688027806686414,0.7233434214848888,0.989010989010989,0.1502163890388406
regime_C,>4% (restrittivo),NASDAQ,109,0.015788879378601222,0.20681707853190012,0.24143327106974155,0.17236083933044846,1.0838719471175022,-0.5688675773427523,1.9813539051214462,0.6146788990825688,104,0.16677226000139422,0.1465712659264357,-0.2324757593790573,0.5972672931873977,0.7115384615384616,0.1667722600013941,92,0.20655970456328643,0.2996904181320747,-0.049560249588035225,0.7234861264429243,0.8586956521739131,0.09843511622821222
