strategy,window_years,start_year,end_year,nav_final_net,cagr_net
ETF,5,1998,2002,0.9926737072873416,-0.0014695714803745208
ETF,5,1999,2003,0.9644258866444307,-0.007218280327384696
ETF,5,2000,2004,0.8896470703509255,-0.023114753707243585
ETF,5,2001,2005,1.0469344120157462,0.009215460512081997
ETF,5,2002,2006,1.2438118675369458,0.04460220742942966
ETF,5,2003,2007,1.5422309149922189,0.0905105737467089
ETF,5,2004,2008,0.923075515352822,-0.01588138602970679
ETF,5,2005,2009,1.0306862989798717,0.006063285759957182
ETF,5,2006,2010,1.0810500117382718,0.01570866438415197
ETF,5,2007,2011,1.0005621625544303,0.00011240723727135027
ETF,5,2008,2012,1.0896446930093033,0.017318592201724936
ETF,5,2009,2013,1.8626499008864004,0.13246880228689406
ETF,5,2010,2014,1.7355839751248034,0.1165781533501804
ETF,5,2011,2015,1.551888677618795,0.09187296503495523
ETF,5,2012,2016,1.7023599871634099,0.1122701458301476
ETF,5,2013,2017,1.7574379908276658,0.1193760281048648
ETF,5,2014,2018,1.3752509474325927,0.06580165567620355
ETF,5,2015,2019,1.5477737210983336,0.09129331227159443
ETF,5,2016,2020,1.745905586100469,0.11790307536641742
ETF,5,2017,2021,1.9640019979957484,0.1445331738564819
ETF,5,2018,2022,1.3969666607837998,0.06914647477399627
ETF,5,2019,2023,1.7665456162363247,0.1205338259710953
ETF,5,2020,2024,1.6877237572466868,0.1103509609351967
ETF,5,2021,2025,1.72274393483431,0.11492112904066643
SP1,10,1995,2004,1.8512182592752549,0.06352024756386054
SP1,10,1996,2005,1.5466140080244823,0.04457155177750849
SP1,10,1997,2006,1.4459644421005937,0.03756607027815595
SP1,10,1998,2007,1.2347899580986763,0.02131405575660561
SP1,10,1999,2008,0.878938570329236,-0.012821126968354468
SP1,10,2000,2009,0.46031513392558043,-0.07465107374959246
SP1,10,2001,2010,1.3381656516331706,0.029558403605269623
SP1,10,2002,2011,1.6151801745595344,0.049112586767489086
SP1,10,2003,2012,2.9505305740930257,0.11426890690584668
SP1,10,2004,2013,2.5285000229639274,0.09720125627352405
SP1,10,2005,2014,2.9081084258980723,0.11265637217156077
SP1,10,2006,2015,2.480679784522127,0.09510830048239849
SP1,10,2007,2016,2.2314748564388536,0.08357555698767505
SP1,10,2008,2017,2.583617300593076,0.09956983820718235
SP1,10,2009,2018,2.70678289125567,0.10470251382965046
SP1,10,2010,2019,4.384847637261839,0.1592989719250768
SP1,10,2011,2020,6.27304015411237,0.20156648663199528
SP1,10,2012,2021,7.442121414554154,0.22227710000298173
SP1,10,2013,2022,4.190512671987521,0.1540555550902707
SP1,10,2014,2023,5.760562395561182,0.19136952985037303
SP1,10,2015,2024,5.53885211177382,0.1867028270028177
SP1,10,2016,2025,7.1523862561076506,0.2174330738426704
SP3,10,1995,2004,3.396676917410925,0.13007020334060138
SP3,10,1996,2005,2.5413933761903715,0.0977594625717415
SP3,10,1997,2006,2.244774738701084,0.08421965657350894
SP3,10,1998,2007,1.9276558511958628,0.06783204611974392
SP3,10,1999,2008,1.251198914655401,0.02266321772880131
SP3,10,2000,2009,1.0236351688070449,0.0023387488837633974
SP3,10,2001,2010,1.7938406322724036,0.060177018318714914
SP3,10,2002,2011,1.7881560320063377,0.0598405729305973
SP3,10,2003,2012,2.487398769361575,0.09540455247144597
SP3,10,2004,2013,2.6406743119251694,0.10197434556454188
SP3,10,2005,2014,2.70867905364934,0.1047798763451635
SP3,10,2006,2015,2.6017951391670966,0.10034103601232847
SP3,10,2007,2016,2.4920439124374147,0.0956089443029573
SP3,10,2008,2017,2.9350966255448525,0.11368466672739386
SP3,10,2009,2018,3.3214990479973903,0.12754377914456794
SP3,10,2010,2019,4.511387747411594,0.16260186572546576
SP3,10,2011,2020,5.886532453176826,0.1939494897306384
SP3,10,2012,2021,7.774236173163261,0.22762513833953335
SP3,10,2013,2022,4.868101576351685,0.1714829256743906
SP3,10,2014,2023,5.973370421996211,0.1956992166332132
SP3,10,2015,2024,8.350531656448197,0.23643534862596982
SP3,10,2016,2025,9.77368563372977,0.25604684393963617
ETF,10,1995,2004,2.5116806895669654,0.0964692148506141
ETF,10,1996,2005,2.0009769918485287,0.0718258067276758
ETF,10,1997,2006,1.8889475264491025,0.0656681581275087
ETF,10,1998,2007,1.532836915983766,0.043637306148189614
ETF,10,1999,2008,0.8902379223339103,-0.011559324016226946
ETF,10,2000,2009,0.9265389297932978,-0.00760088763878497
ETF,10,2001,2010,1.133125011111863,0.012576356754256501
ETF,10,2002,2011,1.2445592488782073,0.022119226571099437
ETF,10,2003,2012,1.697562261940213,0.05434458332337333
ETF,10,2004,2013,1.7393668831908635,0.05691270786642355
ETF,10,2005,2014,1.7967734494904621,0.06035022323667616
ETF,10,2006,2015,1.693385424220881,0.054084875037824665
ETF,10,2007,2016,1.7034557179401557,0.0547100513415113
ETF,10,2008,2017,1.9388398408117384,0.06844997573404199
ETF,10,2009,2018,2.6753470545490656,0.10341278775062857
ETF,10,2010,2019,2.827862522215593,0.10954732116965071
ETF,10,2011,2020,2.854087300937453,0.110572014266477
ETF,10,2012,2021,3.5813301350750977,0.13606828411846283
ETF,10,2013,2022,2.5607257731920727,0.09859168409097419
ETF,10,2014,2023,2.530508683591865,0.09728838767477699
ETF,10,2015,2024,2.7445745075271075,0.10623527404995525
ETF,10,2016,2025,3.197161329466057,0.12325007210031513
