"DATE","TIME PERIOD","Bank interest rates - loans to households for house purchase (new business)  (MIR.M.IT.B.A2C.A.R.A.2250.EUR.N)"
"2010-11-30","2010Nov","2.8800"
"2010-12-31","2010Dec","2.9700"
"2011-01-31","2011Jan","3.1500"
"2011-02-28","2011Feb","3.0800"
"2011-03-31","2011Mar","2.9900"
"2011-04-30","2011Apr","3.0400"
"2011-05-31","2011May","3.0900"
"2011-06-30","2011Jun","3.1600"
"2011-07-31","2011Jul","3.2100"
"2011-08-31","2011Aug","3.4300"
"2011-09-30","2011Sep","3.4200"
"2011-10-31","2011Oct","3.5400"
"2011-11-30","2011Nov","3.7000"
"2011-12-31","2011Dec","4.0300"
"2012-01-31","2012Jan","4.2600"
"2012-02-29","2012Feb","4.3300"
"2012-03-31","2012Mar","4.2700"
"2012-04-30","2012Apr","4.1400"
"2012-05-31","2012May","4.1200"
"2012-06-30","2012Jun","3.9700"
"2012-07-31","2012Jul","3.9900"
"2012-08-31","2012Aug","3.9500"
"2012-09-30","2012Sep","3.8600"
"2012-10-31","2012Oct","3.8000"
"2012-11-30","2012Nov","3.8300"
"2012-12-31","2012Dec","3.6900"
"2013-01-31","2013Jan","3.7000"
"2013-02-28","2013Feb","3.7600"
"2013-03-31","2013Mar","3.6900"
"2013-04-30","2013Apr","3.7200"
"2013-05-31","2013May","3.7100"
"2013-06-30","2013Jun","3.6400"
"2013-07-31","2013Jul","3.6800"
"2013-08-31","2013Aug","3.6300"
"2013-09-30","2013Sep","3.6800"
"2013-10-31","2013Oct","3.6000"
"2013-11-30","2013Nov","3.5400"
"2013-12-31","2013Dec","3.5000"
"2014-01-31","2014Jan","3.4900"
"2014-02-28","2014Feb","3.4300"
"2014-03-31","2014Mar","3.4400"
"2014-04-30","2014Apr","3.3400"
"2014-05-31","2014May","3.3300"
"2014-06-30","2014Jun","3.2600"
"2014-07-31","2014Jul","3.2100"
"2014-08-31","2014Aug","3.1200"
"2014-09-30","2014Sep","2.9900"
"2014-10-31","2014Oct","2.8800"
"2014-11-30","2014Nov","2.9000"
"2014-12-31","2014Dec","2.8300"
"2015-01-31","2015Jan","2.8200"
"2015-02-28","2015Feb","2.7500"
"2015-03-31","2015Mar","2.6800"
"2015-04-30","2015Apr","2.6300"
"2015-05-31","2015May","2.6500"
"2015-06-30","2015Jun","2.7700"
"2015-07-31","2015Jul","2.7800"
"2015-08-31","2015Aug","2.8200"
"2015-09-30","2015Sep","2.6700"
"2015-10-31","2015Oct","2.6000"
"2015-11-30","2015Nov","2.5700"
"2015-12-31","2015Dec","2.5000"
"2016-01-31","2016Jan","2.4900"
"2016-02-29","2016Feb","2.4100"
"2016-03-31","2016Mar","2.3300"
"2016-04-30","2016Apr","2.2900"
"2016-05-31","2016May","2.2500"
"2016-06-30","2016Jun","2.2000"
"2016-07-31","2016Jul","2.0900"
"2016-08-31","2016Aug","2.1600"
"2016-09-30","2016Sep","2.0200"
"2016-10-31","2016Oct","2.0300"
"2016-11-30","2016Nov","2.0500"
"2016-12-31","2016Dec","2.0200"
"2017-01-31","2017Jan","2.0800"
"2017-02-28","2017Feb","2.1600"
"2017-03-31","2017Mar","2.1100"
"2017-04-30","2017Apr","2.1300"
"2017-05-31","2017May","2.1200"
"2017-06-30","2017Jun","2.1000"
"2017-07-31","2017Jul","2.0700"
"2017-08-31","2017Aug","2.1100"
"2017-09-30","2017Sep","2.0200"
"2017-10-31","2017Oct","2.0100"
"2017-11-30","2017Nov","1.9700"
"2017-12-31","2017Dec","1.9000"
"2018-01-31","2018Jan","1.9200"
"2018-02-28","2018Feb","1.9100"
"2018-03-31","2018Mar","1.8800"
"2018-04-30","2018Apr","1.8400"
"2018-05-31","2018May","1.8300"
"2018-06-30","2018Jun","1.8000"
"2018-07-31","2018Jul","1.7900"
"2018-08-31","2018Aug","1.8500"
"2018-09-30","2018Sep","1.8000"
"2018-10-31","2018Oct","1.8800"
"2018-11-30","2018Nov","1.9100"
"2018-12-31","2018Dec","1.8900"
"2019-01-31","2019Jan","1.9500"
"2019-02-28","2019Feb","1.9100"
"2019-03-31","2019Mar","1.8500"
"2019-04-30","2019Apr","1.8600"
"2019-05-31","2019May","1.8500"
"2019-06-30","2019Jun","1.7700"
"2019-07-31","2019Jul","1.6900"
"2019-08-31","2019Aug","1.7000"
"2019-09-30","2019Sep","1.4400"
"2019-10-31","2019Oct","1.3900"
"2019-11-30","2019Nov","1.4300"
"2019-12-31","2019Dec","1.4400"
"2020-01-31","2020Jan","1.4400"
"2020-02-29","2020Feb","1.4000"
"2020-03-31","2020Mar","1.3800"
"2020-04-30","2020Apr","1.4000"
"2020-05-31","2020May","1.3300"
"2020-06-30","2020Jun","1.2700"
"2020-07-31","2020Jul","1.2600"
"2020-08-31","2020Aug","1.3200"
"2020-09-30","2020Sep","1.2700"
"2020-10-31","2020Oct","1.2600"
"2020-11-30","2020Nov","1.2700"
"2020-12-31","2020Dec","1.2500"
"2021-01-31","2021Jan","1.2700"
"2021-02-28","2021Feb","1.2900"
"2021-03-31","2021Mar","1.3700"
"2021-04-30","2021Apr","1.3800"
"2021-05-31","2021May","1.4000"
"2021-06-30","2021Jun","1.4200"
"2021-07-31","2021Jul","1.4000"
"2021-08-31","2021Aug","1.4600"
"2021-09-30","2021Sep","1.3900"
"2021-10-31","2021Oct","1.4300"
"2021-11-30","2021Nov","1.4400"
"2021-12-31","2021Dec","1.4000"
"2022-01-31","2022Jan","1.4500"
"2022-02-28","2022Feb","1.4900"
"2022-03-31","2022Mar","1.6600"
"2022-04-30","2022Apr","1.8100"
"2022-05-31","2022May","1.9200"
"2022-06-30","2022Jun","2.0500"
"2022-07-31","2022Jul","2.1500"
"2022-08-31","2022Aug","2.0700"
"2022-09-30","2022Sep","2.2600"
"2022-10-31","2022Oct","2.7500"
"2022-11-30","2022Nov","3.0600"
"2022-12-31","2022Dec","3.0100"
"2023-01-31","2023Jan","3.5900"
"2023-02-28","2023Feb","3.7600"
"2023-03-31","2023Mar","4.0000"
"2023-04-30","2023Apr","4.1700"
"2023-05-31","2023May","4.2200"
"2023-06-30","2023Jun","4.2700"
"2023-07-31","2023Jul","4.1900"
"2023-08-31","2023Aug","4.2900"
"2023-09-30","2023Sep","4.2100"
"2023-10-31","2023Oct","4.3500"
"2023-11-30","2023Nov","4.5000"
"2023-12-31","2023Dec","4.4200"
"2024-01-31","2024Jan","3.9800"
"2024-02-29","2024Feb","3.8900"
"2024-03-31","2024Mar","3.7900"
"2024-04-30","2024Apr","3.6800"
"2024-05-31","2024May","3.6100"
"2024-06-30","2024Jun","3.5500"
"2024-07-31","2024Jul","3.4400"
"2024-08-31","2024Aug","3.5900"
"2024-09-30","2024Sep","3.3100"
"2024-10-31","2024Oct","3.2700"
"2024-11-30","2024Nov","3.2300"
"2024-12-31","2024Dec","3.1100"
"2025-01-31","2025Jan","3.1200"
"2025-02-28","2025Feb","3.1800"
"2025-03-31","2025Mar","3.1400"
"2025-04-30","2025Apr","3.2700"
"2025-05-31","2025May","3.1700"
"2025-06-30","2025Jun","3.1900"
"2025-07-31","2025Jul","3.2000"
"2025-08-31","2025Aug","3.2800"
"2025-09-30","2025Sep","3.2800"
"2025-10-31","2025Oct","3.3100"
"2025-11-30","2025Nov","3.3000"
"2025-12-31","2025Dec","3.3800"
"2026-01-31","2026Jan","3.4500"
"2026-02-28","2026Feb","3.4400"
"2026-03-31","2026Mar","3.3700"
"2026-04-30","2026Apr","3.4700"
"2026-05-31","2026May","3.5000"
"2026-06-30","2026Jun","3.4900"
"2026-07-31","2026Jul","3.4000"
