date,azienda,azionario
2032-05-31,15952.327198573603,20566.44474345893
2032-06-30,16179.883604453722,20769.8991114809
2032-07-31,16408.044426390137,21251.76350435374
2032-08-31,16636.811269781596,22030.830859076043
2032-09-30,16866.18574429097,21444.712039512866
2032-10-31,17096.169463856582,21366.47217770631
2032-11-30,17326.76404670356,21241.592986844647
2032-12-31,17557.971115355227,22970.384813419274
2033-01-31,17774.684348007147,23123.32975137393
2033-02-28,17991.786722721146,22579.413415348907
2033-03-31,18209.278938261865,22439.408064828633
2033-04-30,18427.161694648683,21855.57668400921
2033-05-31,18645.43569315798,21375.936267922316
2033-06-30,18864.101636325377,21694.71677158478
2033-07-31,19083.16022794801,22595.690415153047
2033-08-31,19302.612173086793,22384.41201567693
2033-09-30,19522.458178068682,22782.948817908313
2033-10-31,19742.698950488957,23223.376318491682
2033-11-30,19963.33519921349,23775.367972536576
2033-12-31,20184.367634381033,23939.860155272345
2034-01-31,20391.559738607233,24190.613583206396
2034-02-28,20598.977743389063,25291.924550133182
2034-03-31,20806.62189502481,26737.049989386356
2034-04-30,21014.492440081307,27234.064202179485
2034-05-31,21222.589625394212,26472.96345085544
2034-06-30,21430.913698068307,27685.10972537999
2034-07-31,21639.46490547779,27738.047434876287
2034-08-31,21848.24349526657,28932.202326644958
2034-09-30,22057.24971534857,28214.738330679393
2034-10-31,22266.483813908,27268.705254603778
2034-11-30,22475.946039399667,27144.923374985057
2034-12-31,22685.63664054927,26868.284604919816
2035-01-31,22933.212885630557,26485.532369379896
2035-02-28,23181.470026054587,28326.739724952055
2035-03-31,23430.409934450407,28952.764492367714
2035-04-30,23680.03448859725,29203.77345462671
2035-05-31,23930.34557143871,30305.537579773245
2035-06-30,24181.345071096926,32222.43109780898
2035-07-31,24433.034880886844,33589.60690225924
2035-08-31,24685.416899330485,34897.050491516486
2035-09-30,24938.493030171274,35097.13975738636
2035-10-31,25192.265182388397,37900.6659264574
2035-11-30,25446.7352702112,38223.637474621406
2035-12-31,25701.90521313363,37450.67064386924
2036-01-31,25941.38891310428,38158.334555259724
2036-02-29,26181.378552580816,38740.89794654576
2036-03-31,26421.87520042422,37977.570657862576
2036-04-30,26662.87992775358,38759.090832063266
2036-05-31,26904.39380795086,39498.63112503818
2036-06-30,27146.417916665676,39311.26017100764
2036-07-31,27388.953331820092,40166.85783019064
2036-08-31,27632.00113361342,40970.306069890066
2036-09-30,27875.562404527023,40909.649728251876
2036-10-31,28119.63822932915,41720.383062813446
2036-11-30,28364.229695079757,43239.50486401594
2036-12-31,28609.337891135347,41525.7775479214
2037-01-31,28868.144839048284,42812.81699606384
2037-02-28,29127.61778712467,42828.52692179144
2037-03-31,29387.758449214227,42212.508317169304
2037-04-30,29648.56854357702,42547.66626573992
2037-05-31,29910.049792894788,41808.13161639897
2037-06-30,30172.203924282327,42009.604418699004
2037-07-31,30435.032669298904,43458.99368637204
2037-08-31,30698.537763959688,42009.885784400954
2037-09-30,30962.720948747217,39571.322594112855
2037-10-31,31227.583968622894,41380.400217850896
2037-11-30,31493.128573038517,42249.01320975753
2037-12-31,31759.356515947828,43115.84932561788
2038-01-31,32026.711493686616,46122.867620623954
2038-02-28,32294.758188936998,45526.08953468395
2038-03-31,32563.498391353758,45274.506877519794
2038-04-30,32832.93389522199,45184.77422051685
2038-05-31,33103.066499469074,45549.64327847641
2038-06-30,33373.89800767669,45798.55834243144
2038-07-31,33645.43022809285,45942.45402659468
2038-08-31,33917.664973643994,45351.38812335113
2038-09-30,34190.604061947066,48045.54906743263
2038-10-31,34464.24931532166,48793.77218221376
2038-11-30,34738.60256080219,49097.00710937369
2038-12-31,35013.6656301501,51205.08916120547
2039-01-31,35275.783995940874,49488.384193988066
2039-02-28,35538.47829684763,51471.41784206955
2039-03-31,35801.74979833398,50165.666295421535
2039-04-30,36065.59976864408,50943.696279827585
2039-05-31,36330.029478808705,50165.09087011731
2039-06-30,36595.04020265137,51699.161204363045
2039-07-31,36860.63321679449,50485.877885144146
2039-08-31,37126.80980066551,51674.69691189785
2039-09-30,37393.571236503085,51464.364020728724
2039-10-31,37660.91880936323,53223.12620450696
2039-11-30,37928.853807125546,52865.800218191995
2039-12-31,38197.377520499394,51997.80136210712
2040-01-31,38453.5837272734,54165.5504250459
2040-02-29,38710.26630252408,52413.8256141947
2040-03-31,38967.426131971304,53360.74745850167
2040-04-30,39225.064102981756,54383.623621137645
2040-05-31,39483.181104572024,54844.93892203359
2040-06-30,39741.77802741167,56509.48477587697
2040-07-31,40000.85576382627,56887.53863497382
2040-08-31,40260.41520780054,57674.876755305035
2040-09-30,40520.45725498139,59309.60858424149
2040-10-31,40780.98280268101,60429.922747070385
2040-11-30,41041.99274987998,61468.69622988435
2040-12-31,41303.48799723038,63542.130581942976
2041-01-31,41601.87746261442,61726.70117408296
2041-02-28,41901.08475153554,60497.647380605646
2041-03-31,42201.11210547816,60974.87431343589
2041-04-30,42501.96177207015,63638.56052567302
2041-05-31,42803.636005099645,63097.44531735415
2041-06-30,43106.13706453196,63602.5317114498
2041-07-31,43409.4672165265,65892.42951155745
2041-08-31,43713.62873345374,69170.10463379734
2041-09-30,44018.623893912256,71317.06665890964
2041-10-31,44324.45498274578,73423.07606605097
2041-11-30,44631.12429106034,75577.58508163414
2041-12-31,44938.634116241396,72896.76428591135
2042-01-31,45259.227834897036,72364.86501442005
2042-02-28,45580.787562558886,73797.21875615239
2042-03-31,45903.31620999327,71927.40971033461
2042-04-30,46226.816696737194,68632.95796928667
2042-05-31,46551.29195112478,66253.11129963971
2042-06-30,46876.74491031378,68890.94296447039
2042-07-31,47203.178520312125,66905.22699562366
2042-08-31,47530.59573600465,69112.62834469152
2042-09-30,47858.99952117981,73243.1739811955
2042-10-31,48188.39284855648,70717.44014420912
2042-11-30,48518.77869981094,71045.56077527427
2042-12-31,48850.16006560377,70005.36945887232
2043-01-31,49110.8471814208,69173.15301421701
2043-02-28,49371.937210565215,68312.38610796245
2043-03-31,49633.43077577261,65382.80304952196
2043-04-30,49895.328500741096,66487.64436341364
2043-05-31,50157.63101013273,65331.60590723989
2043-06-30,50420.33892957507,66489.48342608496
2043-07-31,50683.45288566259,66813.4590387876
2043-08-31,50946.97350595826,66652.91052852847
2043-09-30,51210.901418994974,66483.72236322306
2043-10-31,51475.23725427708,66494.86893163249
2043-11-30,51739.98164228189,66371.26063070395
2043-12-31,52005.13521446115,68167.240175527
2044-01-31,52259.56398890456,69427.17137524598
2044-02-29,52514.33152915409,70850.9574100673
2044-03-31,52769.438286268276,72347.64312233827
2044-04-30,53024.88471190623,74124.13366063737
2044-05-31,53280.67125832843,77362.79452134641
2044-06-30,53536.79837839755,81270.86132001069
2044-07-31,53793.266525579216,83167.29713870422
2044-08-31,54050.07615394285,86297.06064101747
2044-09-30,54307.227718162445,84921.33790473817
2044-10-31,54564.721673517386,85015.13079436892
2044-11-30,54822.55847589325,87649.60182754818
2044-12-31,55080.73858178262,86198.68229629067
2045-01-31,55326.77335627983,87579.1543707933
2045-02-28,55573.079933867746,89837.59138343623
2045-03-31,55819.658614816595,88511.62578768253
2045-04-30,56066.50969972834,85146.75790030096
2045-05-31,56313.633489537024,84990.75295747649
2045-06-30,56561.030285509136,80933.46894807286
2045-07-31,56808.70038924399,81744.52951716015
2045-08-31,57056.64410267409,81356.74950549552
2045-09-30,57304.86172806548,78726.8463917213
2045-10-31,57553.35356801815,76348.67572201809
2045-11-30,57802.11992546637,82218.68421909137
2045-12-31,58051.16110367908,80651.47380720497
2046-01-31,58313.76158136875,81044.52548306934
2046-02-28,58576.71225520275,82996.12552164427
2046-03-31,58840.01359219218,84504.48370773876
2046-04-30,59103.66605997094,85787.6518501227
2046-05-31,59367.670126796555,86002.59036427207
2046-06-30,59632.02626155099,87890.53526598857
2046-07-31,59896.73493374152,87788.96982157665
2046-08-31,60161.796613501516,89244.31460092824
2046-09-30,60427.21177159132,92553.31548074556
2046-10-31,60692.98087939906,93293.71177486762
2046-11-30,60959.1044089415,93015.60587138384
2046-12-31,61225.582832864864,90167.22470153715
2047-01-31,61648.87059140878,89204.93924033639
2047-02-28,62073.80449033906,89613.69030517135
2047-03-31,62500.39093139572,90946.22326258066
2047-04-30,62928.63634121471,88315.82267444291
2047-05-31,63358.547171424805,88638.36734341994
2047-06-30,63790.12989874476,86453.67520827135
2047-07-31,64223.3910250809,84106.91724049009
2047-08-31,64658.33707762507,84928.18831976257
2047-09-30,65094.97460895296,87101.88457017206
2047-10-31,65533.31019712284,86305.74201158162
2047-11-30,65973.35044577465,85919.03853691052
2047-12-31,66415.10198422946,87388.35782126563
2048-01-31,66767.02960921159,88440.03026924045
2048-02-29,67119.84078731746,95899.7234565344
2048-03-31,67473.53773680465,99767.69489275386
2048-04-30,67828.12268149991,95975.2687120351
2048-05-31,68183.59785081318,103642.79707014513
2048-06-30,68539.96547975157,102117.01805321935
2048-07-31,68897.2278089334,98439.46766730436
2048-08-31,69255.38708460233,94742.21289184815
2048-09-30,69614.44555864147,96105.9531643842
2048-10-31,69974.40548858751,92733.98357095623
2048-11-30,70335.26913764494,91737.76605760287
2048-12-31,70697.03877470028,95308.55282609959
2049-01-31,71083.65669084729,92770.05462447547
2049-02-28,71471.37617367995,89678.76013628488
2049-03-31,71860.20036182457,90992.3020313716
2049-04-30,72250.13240285014,89336.63344010283
2049-05-31,72641.17545329386,90835.25755256657
2049-06-30,73033.33267868664,92712.88796277158
2049-07-31,73426.60725357871,93180.00388785457
2049-08-31,73821.00236156539,96895.98664304311
2049-09-30,74216.52119531283,94954.23122572817
2049-10-31,74613.16695658381,89212.1239607939
2049-11-30,75010.94285626373,86992.07903793022
2049-12-31,75409.85211438655,88884.81494697601
2050-01-31,75714.91355854206,92405.41602618033
2050-02-28,76020.4599476173,88868.35971002985
2050-03-31,76326.49205251134,92461.79838953831
2050-04-30,76633.01064534867,90924.73178769635
2050-05-31,76940.01649948122,89657.43469677909
2050-06-30,77247.5103894903,94439.14487010002
2050-07-31,77555.49309118853,97873.76278265598
2050-08-31,77863.96538162182,99103.23394372576
2050-09-30,78172.9280390713,103515.459451635
2050-10-31,78482.38184305532,95838.88081180252
2050-11-30,78792.32757433142,97598.61920413235
2050-12-31,79102.76601489824,99500.3163994339
2051-01-31,79486.70862382468,102112.44999852788
2051-02-28,79871.61594546169,101073.79287909053
2051-03-31,80257.49040379292,104517.01672675465
2051-04-30,80644.33442889266,101863.38322828089
