Date,Price_SPY_1x,Price_SSO_Real_2x,Price_Synthetic_2x,Difference_Real_vs_Synth
2006-10-20,95.41629028320312,4.296140670776367,4.399349426657775,-0.10320875588140765
2006-10-23,95.85559844970703,4.335963249206543,4.43985970272696,-0.10389645352041743
2006-10-24,96.14143371582031,4.355362892150879,4.466338458275088,-0.11097556612420867
2006-10-25,96.46919250488281,4.379868030548096,4.496791128430903,-0.11692309788280753
2006-10-26,96.76903533935547,4.417646884918213,4.5247447281858095,-0.10709784326759664
2006-10-27,96.1623764038086,4.3594465255737305,4.468012183301048,-0.10856565772731752
2006-10-30,96.0926513671875,4.3538312911987305,4.461532885996749,-0.10770159479801844
2006-10-31,96.07868957519531,4.339537143707275,4.46023640820715,-0.12069926449987456
2006-11-01,95.43026733398438,4.287971496582031,4.40003332881613,-0.11206183223409916
2006-11-02,95.37443542480469,4.284397602081299,4.394884810048131,-0.1104872079668322
2006-11-03,95.20708465576172,4.257849216461182,4.379461654995294,-0.12161243853411197
2006-11-06,96.28087615966797,4.361488342285156,4.478249024313875,-0.11676068202871903
2006-11-07,96.65047454833984,4.384461402893066,4.51263079750657,-0.1281693946135034
2006-11-08,96.85969543457031,4.413053035736084,4.532167931061213,-0.11911489532512931
2006-11-09,96.35062408447266,4.3625102043151855,4.484527953727334,-0.12201774941214882
2006-11-10,96.39247131347656,4.370169162750244,4.488423415122366,-0.11825425237212173
2006-11-13,96.6295394897461,4.388037204742432,4.510501121790724,-0.12246391704829218
2006-11-14,97.354736328125,4.450322151184082,4.578203010267059,-0.12788085908297653
2006-11-15,97.6336441040039,4.481975555419922,4.604434839703934,-0.12245928428401243
2006-11-16,97.88467407226562,4.501375198364258,4.628112151808412,-0.12673695344415403
2006-11-17,97.91256713867188,4.5003533363342285,4.630749791271576,-0.13039645493734753
2006-11-20,97.96831512451172,4.497801780700684,4.63602296470244,-0.13822118400175665
2006-11-21,98.06600189208984,4.511584758758545,4.6452683640392385,-0.13368360528069356
2006-11-22,98.26116943359375,4.530985355377197,4.663758066662847,-0.13277271128565005
2006-11-24,97.8637466430664,4.495248317718506,4.626032406447695,-0.13078408872918956
2006-11-27,96.51799774169922,4.375275611877441,4.498804944957347,-0.12352933307990543
2006-11-28,96.93635559082031,4.4023308753967285,4.537805139831355,-0.1354742644346265
2006-11-29,97.94743347167969,4.481464385986328,4.632466722197836,-0.1510023362115076
2006-11-30,97.98927307128906,4.485038757324219,4.636424366538084,-0.15138560921386546
2006-12-01,97.77310943603516,4.4646172523498535,4.615968528582811,-0.1513512762329574
2006-12-04,98.51920318603516,4.536088466644287,4.686416227121548,-0.1503277604772606
2006-12-05,98.94453430175781,4.572850227355957,4.726881001057213,-0.15403077370125562
2006-12-06,98.86087036132812,4.55957555770874,4.7188872398397494,-0.1593116821310092
2006-12-07,98.4285659790039,4.527410507202148,4.6776172080057075,-0.15020670080355902
2006-12-08,98.60986328125,4.536600112915039,4.694848778379947,-0.15824866546490757
2006-12-11,98.89567565917969,4.560085296630859,4.722064025389101,-0.1619787287582417
2006-12-12,98.81903076171875,4.551918983459473,4.71474475464005,-0.16282577118057695
2006-12-13,98.92361450195312,4.574380397796631,4.724724323087338,-0.1503439252907075
2006-12-14,99.79519653320312,4.635645389556885,4.807980173439054,-0.17233478388216916
2006-12-15,99.80428314208984,4.655044078826904,4.808855731319371,-0.15381165249246642
2006-12-18,99.53094482421875,4.625434398651123,4.782515287901482,-0.15708088925035923
2006-12-19,99.72018432617188,4.650450229644775,4.800701407057973,-0.15025117741319782
2006-12-20,99.6640853881836,4.632710933685303,4.795300008086349,-0.16258907440104586
2006-12-21,99.29949951171875,4.605008602142334,4.7602161832651895,-0.1552075811228555
