Date,QQQ,QLD
2021-07-23,357.72686767578125,38.205902099609375
2021-07-26,358.0085144042969,38.2899169921875
2021-07-27,354.06402587890625,37.44979476928711
2021-07-28,355.42431640625,37.71665573120117
2021-07-29,356.0557861328125,37.86492156982422
2021-07-30,354.2000732421875,37.459678649902344
2021-08-02,354.229248046875,37.45473861694336
2021-08-03,356.3764343261719,37.90938949584961
2021-08-04,356.8913879394531,38.03294372558594
2021-08-05,359.1550598144531,38.512298583984375
2021-08-06,357.5811462402344,38.16143035888672
2021-08-09,358.2418212890625,38.299808502197266
2021-08-10,356.405517578125,37.914344787597656
2021-08-11,355.7933349609375,37.79079055786133
2021-08-12,357.075927734375,38.05765151977539
2021-08-13,358.3291931152344,38.30474090576172
2021-08-16,358.48468017578125,38.33439254760742
2021-08-17,355.3271789550781,37.66230010986328
2021-08-18,351.9072265625,36.93089294433594
2021-08-19,353.607421875,37.296592712402344
2021-08-20,357.2702331542969,38.07247543334961
2021-08-23,362.61383056640625,39.1992301940918
2021-08-24,363.72137451171875,39.441383361816406
2021-08-25,364.13909912109375,39.485862731933594
2021-08-26,361.8268737792969,39.02626419067383
2021-08-27,365.3439025878906,39.792259216308594
2021-08-30,369.4438781738281,40.68674850463867
2021-08-31,369.14263916015625,40.60272979736328
2021-09-01,369.75469970703125,40.746055603027344
2021-09-02,369.57989501953125,40.69662857055664
2021-09-03,370.7165832519531,40.953609466552734
2021-09-07,371.2412109375,41.052452087402344
2021-09-08,369.94903564453125,40.78558349609375
2021-09-09,368.6763000488281,40.464359283447266
2021-09-10,365.87811279296875,39.861446380615234
2021-09-13,365.6256103515625,39.80708312988281
2021-09-14,364.5860595703125,39.5748176574707
2021-09-15,367.2967224121094,40.157958984375
2021-09-16,367.5492858886719,40.232093811035156
2021-09-17,363.1966552734375,39.27830123901367
2021-09-20,355.69183349609375,37.64253234863281
2021-09-21,356.1295471191406,37.71665573120117
2021-09-22,359.4560546875,38.438175201416016
2021-09-23,362.7725524902344,39.13992691040039
2021-09-24,363.1130676269531,39.204185485839844
2021-09-27,360.214599609375,38.596317291259766
2021-09-28,350.0213928222656,36.3922233581543
2021-09-29,349.44757080078125,36.30326461791992
2021-09-30,348.1636657714844,35.962276458740234
2021-10-01,350.3229675292969,36.446590423583984
2021-10-04,342.9698486328125,34.93436050415039
2021-10-05,347.5995178222656,35.868385314941406
2021-10-06,349.826904296875,36.31809997558594
2021-10-07,353.03656005859375,36.985252380371094
2021-10-08,351.2760925292969,36.60966873168945
2021-10-11,348.58197021484375,36.05122756958008
2021-10-12,347.36614990234375,35.80908203125
2021-10-13,350.1478271484375,36.372459411621094
2021-10-14,356.59637451171875,37.7067756652832
2021-10-15,358.84320068359375,38.18119812011719
2021-10-18,362.4516296386719,38.95213317871094
2021-10-19,365.1944885253906,39.52045440673828
2021-10-20,364.7179260253906,39.42655563354492
2021-10-21,366.94525146484375,39.91087341308594
2021-10-22,363.86199951171875,39.2288818359375
2021-10-25,367.58709716796875,40.029476165771484
2021-10-26,368.74462890625,40.251861572265625
2021-10-27,369.6005859375,40.45941925048828
2021-10-28,373.705078125,41.3736686706543
2021-10-29,375.5433349609375,41.77890396118164
2021-11-01,376.8272399902344,42.06059646606445
2021-11-02,378.40283203125,42.416419982910156
2021-11-03,382.4198303222656,43.31089782714844
2021-11-04,387.32196044921875,44.40800476074219
2021-11-05,387.6915588378906,44.49696731567383
2021-11-08,387.166259765625,44.378360748291016
2021-11-09,384.5012512207031,43.750728607177734
2021-11-10,378.85028076171875,42.4757194519043
2021-11-11,379.9007568359375,42.712928771972656
2021-11-12,383.8982238769531,43.60741424560547
2021-11-15,383.8106994628906,43.592594146728516
2021-11-16,386.5438232421875,44.205379486083984
2021-11-17,386.7480773925781,44.24491882324219
2021-11-18,390.7553405761719,45.154239654541016
2021-11-19,392.9339904785156,45.65336227416992
2021-11-22,388.37237548828125,44.610626220703125
2021-11-23,386.6021728515625,44.1905632019043
2021-11-24,387.84710693359375,44.50189971923828
2021-11-26,380.4940490722656,42.722808837890625
2021-11-29,388.751708984375,44.62050247192383
2021-11-30,383.0422668457031,43.29607391357422
2021-12-01,376.5256652832031,41.82832717895508
2021-12-02,379.2392883300781,42.44606399536133
2021-12-03,372.6448669433594,40.96843719482422
2021-12-06,375.6308288574219,41.64052963256836
2021-12-07,386.94256591796875,44.14608383178711
2021-12-08,388.6738586425781,44.516719818115234
2021-12-09,382.9548034667969,43.20218276977539
2021-12-10,387.11761474609375,44.136199951171875
2021-12-13,381.52496337890625,42.85624694824219
2021-12-14,377.576171875,41.99635314941406
2021-12-15,386.1839904785156,43.87427520751953
2021-12-16,376.25335693359375,41.63064956665039
2021-12-17,374.376220703125,41.20564651489258
2021-12-20,370.7446594238281,40.375404357910156
2021-12-21,379.04193115234375,42.184146881103516
2021-12-22,383.65814208984375,43.22194290161133
2021-12-23,386.5505676269531,43.8841667175293
2021-12-27,392.9391784667969,45.29261016845703
2021-12-28,391.1180114746094,44.921966552734375
2021-12-29,391.0595703125,44.882423400878906
2021-12-30,389.8909606933594,44.57108688354492
2021-12-31,387.4562683105469,43.992881774902344
2022-01-03,391.1862487792969,44.90713882446289
2022-01-04,386.1122741699219,43.7309684753418
2022-01-05,374.2506103515625,41.012908935546875
2022-01-06,373.987548828125,40.9832649230957
2022-01-07,369.936279296875,40.07888412475586
2022-01-10,370.1796875,40.172786712646484
2022-01-11,375.7405700683594,41.353904724121094
2022-01-12,377.2305603027344,41.68007278442383
2022-01-13,367.7936706542969,39.56987380981445
2022-01-14,370.0823059082031,40.06900405883789
2022-01-18,360.8694763183594,38.102134704589844
2022-01-19,356.9058532714844,37.222469329833984
2022-01-20,352.2701416015625,36.23902893066406
2022-01-21,342.502197265625,34.198020935058594
2022-01-24,344.0701599121094,34.613136291503906
2022-01-25,336.09405517578125,32.88347244262695
2022-01-26,335.5682373046875,32.93783187866211
2022-01-27,332.1888122558594,32.17183303833008
2022-01-28,342.6092834472656,34.23261260986328
2022-01-31,353.5654296875,36.42681884765625
2022-02-01,355.97088623046875,36.8617057800293
2022-02-02,358.86322021484375,37.47944259643555
2022-02-03,344.3135986328125,34.40558624267578
