date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
2006-05-31,10.987485939430291,21.114503274731433,3.3686916746066218,2.013720752497731,1.396510838454666,1.188799694573061
2006-06-30,10.987485939430291,21.114503274731433,3.2710804583149824,2.013720752497731,1.396510838454666,1.188799694573061
2006-07-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.013720752497731,1.396510838454666,1.188799694573061
2006-08-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.0558294415523792,1.396510838454666,1.188799694573061
2006-09-30,10.987485939430291,21.114503274731433,3.2849196597763837,2.1182547462473695,1.396510838454666,1.188799694573061
2006-10-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.2068129907303478,1.396510838454666,1.188799694573061
2006-11-30,10.987485939430291,21.114503274731433,3.2849196597763837,2.254336851130744,1.396510838454666,1.188799694573061
2006-12-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.2993426410689968,1.396510838454666,1.188799694573061
2007-01-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.308181557594816,1.396510838454666,1.188799694573061
2007-02-28,10.987485939430291,21.114503274731433,3.2849196597763837,2.3325759225323552,1.396510838454666,1.188799694573061
2007-03-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.2543762065814565,1.396510838454666,1.188799694573061
2007-04-30,10.987485939430291,21.114503274731433,3.2849196597763837,2.3333885937000107,1.396510838454666,1.188799694573061
2007-05-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.397913487767417,1.396510838454666,1.188799694573061
2007-06-30,10.987485939430291,21.114503274731433,3.2849196597763837,2.4015644236442855,1.396510838454666,1.188799694573061
2007-07-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.415944065010371,1.396510838454666,1.188799694573061
2007-08-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.3186775947923093,1.396510838454666,1.188799694573061
2007-09-30,10.987485939430291,21.114503274731433,3.2849196597763837,2.3834369355165177,1.396510838454666,1.188799694573061
2007-10-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.4494537727744716,1.396510838454666,1.188799694573061
2007-11-30,10.987485939430291,21.114503274731433,3.2849196597763837,2.317968937683888,1.396510838454666,1.188799694573061
2007-12-31,10.987485939430291,21.114503274731433,3.2849196597763837,2.348234661288446,1.396510838454666,1.188799694573061
2008-01-31,10.987485939430291,21.114503274731433,3.0518477223776213,2.348234661288446,1.396510838454666,1.188799694573061
2008-02-29,10.987485939430291,21.114503274731433,2.995461288846767,2.348234661288446,1.396510838454666,1.188799694573061
2008-03-31,10.987485939430291,21.114503274731433,2.8916473619088183,2.348234661288446,1.396510838454666,1.188799694573061
2008-04-30,10.987485939430291,21.114503274731433,2.996261832855744,2.348234661288446,1.396510838454666,1.188799694573061
