date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
1926-02-28,2.5420695980702974,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-03-31,2.3798045004034187,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-04-30,2.3237602051727078,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-05-31,2.3505806082376366,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-06-30,2.4732184913988235,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-07-31,2.588352836941853,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-08-31,2.702054746924392,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-09-30,2.7545718170818403,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-10-31,2.7040351438236288,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-11-30,2.7510234657353108,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1926-12-31,2.825456483122293,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-01-31,2.818649415983562,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-02-28,2.885552023110331,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-03-31,2.942293115326604,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-04-30,3.026969779724672,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-05-31,3.1440704807914663,4.144261742282399,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-06-30,3.1440704807914663,4.214819912864014,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-07-31,3.1440704807914663,4.32545067954933,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-08-31,3.1440704807914663,4.573095993395384,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-09-30,3.1440704807914663,4.850375004103267,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-10-31,3.1440704807914663,4.793825472620952,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-11-30,3.1440704807914663,4.921160264239077,1.8415793372376232,1.1029355325571366,1.0,1.0
1927-12-31,3.1440704807914663,5.0548936117285335,1.8415793372376232,1.1029355325571366,1.0,1.0
1928-01-31,3.1440704807914663,5.093736580012624,1.8415793372376232,1.1029355325571366,1.0,1.0
1928-02-29,3.1440704807914663,5.051523654646889,1.8415793372376232,1.1029355325571366,1.0,1.0
1928-03-31,3.1440704807914663,5.341803978283072,1.8415793372376232,1.1029355325571366,1.0,1.0
1928-04-30,3.1440704807914663,5.341803978283072,1.9642672026727688,1.1029355325571366,1.0,1.0
1928-05-31,3.1440704807914663,5.341803978283072,2.031739949836057,1.1029355325571366,1.0,1.0
1928-06-30,3.1440704807914663,5.341803978283072,1.9389850952178536,1.1029355325571366,1.0,1.0
1928-07-31,3.1440704807914663,5.341803978283072,1.9601385866614764,1.1029355325571366,1.0,1.0
1928-08-31,3.1440704807914663,5.341803978283072,2.0305294890122414,1.1029355325571366,1.0,1.0
1928-09-30,3.1440704807914663,5.341803978283072,2.1802639295457262,1.1029355325571366,1.0,1.0
1928-10-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.1029355325571366,1.0,1.0
1928-11-30,3.1440704807914663,5.341803978283072,2.231672294126024,1.1810460907766254,1.0,1.0
1928-12-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.189254770837303,1.0,1.0
1929-01-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.2807392001130162,1.0,1.0
1929-02-28,3.1440704807914663,5.341803978283072,2.231672294126024,1.2911286774000685,1.0,1.0
1929-03-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.3176074067785215,1.0,1.0
1929-04-30,3.1440704807914663,5.341803978283072,2.231672294126024,1.3136350682864641,1.0,1.0
1929-05-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.3372351181353606,1.0,1.0
1929-06-30,3.1440704807914663,5.341803978283072,2.231672294126024,1.3666793052649973,1.0,1.0
1929-07-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.4924155434517419,1.0,1.0
1929-08-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.4924155434517419,1.0595739700374533,1.0
1929-09-30,3.1440704807914663,5.341803978283072,2.231672294126024,1.4924155434517419,1.104544260626252,1.0
1929-10-31,3.1440704807914663,5.341803978283072,2.231672294126024,1.3383264199824698,1.104544260626252,1.0
