date,cape,tr_nom,tr_real,fwd5y_nom,fwd10y_nom,fwd20y_nom,fwd5y_real,fwd10y_real,fwd20y_real,bucket
1993-05-31,20.52,0.00724724278535116,0.005850228578991423,0.22767888295456418,0.09704545397522701,0.08789603127123757,0.19824867564984805,0.07092126244362373,0.062119670048726316,20-25 (equo-alto)
1993-06-30,20.61,0.00865182481751825,0.007254800129405048,0.22585082718592142,0.10219823798625094,0.08681654192301336,0.19650231220911407,0.07598326350589413,0.06101190135767487,20-25 (equo-alto)
1993-07-31,20.56,0.0006100373461888076,0.0006100373461888076,0.23646273531878492,0.10278602857502595,0.08852508511925694,0.20656421284639004,0.07643993588536069,0.06265712771113519,20-25 (equo-alto)
1993-08-31,20.81,0.01762465812634595,0.014813540286217952,0.2144710632835134,0.10067778029853258,0.0877117685724016,0.18546974183299714,0.0742710835194238,0.061946410450643086,20-25 (equo-alto)
1993-09-30,20.99,0.013549717775380055,0.011454163569090792,0.19910076213812355,0.10262370271944676,0.0876245046016888,0.17066464262600167,0.07604384368176564,0.061909843012275756,20-25 (equo-alto)
1993-10-31,21.11,0.012419069186772269,0.008249876039812198,0.1992166911923563,0.10347667355348578,0.08809292723511564,0.17117233560583656,0.07743713370274352,0.0627227343337542,20-25 (equo-alto)
1993-11-30,21.04,7.544729467556799e-05,-0.0006104755086817626,0.22443478883143286,0.10479697015787282,0.09015126667639795,0.19596479442796766,0.07909229082500446,0.06487914353904611,20-25 (equo-alto)
1993-12-31,21.16,0.00887179819539563,0.00887179819539563,0.23214561235755027,0.10715772801098433,0.09049304615012743,0.20364315099748054,0.08151541694699516,0.06521757036933229,20-25 (equo-alto)
1994-01-31,21.41,0.01735880101584586,0.014575329604037845,0.2400651555894895,0.11059087757907049,0.090079919478945,0.21145271153092215,0.08463781298207107,0.0647615024420678,20-25 (equo-alto)
1994-02-28,21.26,-0.0007570103666745265,-0.004162746527660577,0.2400874704058451,0.11187605244215404,0.09005027471421445,0.21200709400283757,0.0856789569055616,0.06471893949381591,20-25 (equo-alto)
1994-03-31,20.83,-0.014238181573999364,-0.017586557315935614,0.25083734351668885,0.11171648347585927,0.09229805248109768,0.2226034351781896,0.08519520805358582,0.06675400664752384,20-25 (equo-alto)
1994-04-30,20.06,-0.033463774677849334,-0.03477522138792022,0.2699085363199265,0.11658211126581697,0.09426878867849964,0.23978316662117383,0.08974435794681113,0.0685751157480683,20-25 (equo-alto)
1994-05-31,20.2,0.010582418442412145,0.009897277819739259,0.26698714424116265,0.11251358692965518,0.09452473302972475,0.23709886491110677,0.08521396244997814,0.06867452961367704,20-25 (equo-alto)
1994-06-30,20.29,0.011080930731130367,0.007665116775957603,0.2626471944669557,0.11442386249611602,0.0956440734286581,0.2336960018579175,0.08710086486789304,0.06984961050610061,20-25 (equo-alto)
1994-07-31,20.07,-0.005188751841347372,-0.007870183777084927,0.275192485322612,0.11248200696800836,0.09674299140071119,0.2458776786167347,0.08567137715407225,0.0710874171454694,20-25 (equo-alto)
1994-08-31,20.54,0.03082077979618969,0.026669823635936618,0.25775846904777544,0.10756148538942534,0.09484540467372282,0.22924716119313193,0.08124858092098641,0.069539812844156,20-25 (equo-alto)
1994-09-30,20.58,0.008174651042564207,0.005475388255301805,0.25420666856675456,0.10970166590921959,0.09536463214063651,0.22526234202562234,0.08339992523943707,0.07015000801430094,20-25 (equo-alto)
1994-10-31,20.4,-0.004440066244075114,-0.005105992621169397,0.2521122857442868,0.11030943608187549,0.09414001992530863,0.22294328604640512,0.08349661074721904,0.06912425731758409,20-25 (equo-alto)
1994-11-30,20.21,-0.0036988386048885102,-0.00502990228076694,0.2703630952400664,0.11591284442146366,0.09738313630231854,0.2409532067378397,0.08905326091647048,0.0726547852549706,20-25 (equo-alto)
1994-12-31,19.91,-0.01025706239199442,-0.01025706239199442,0.28005722712395187,0.1200739193822078,0.09829592940643694,0.2504229119685115,0.09351560780659485,0.07385250503369756,15-20 (equo-basso)
1995-01-31,20.22,0.02451174234934861,0.02042187511442073,0.2735694500935686,0.1158480081689297,0.09635483396665179,0.24434251707695753,0.08959693091610887,0.07242077868039254,20-25 (equo-alto)
1995-02-28,20.8,0.03819093677234475,0.03406294099989027,0.2577306288375081,0.11352863177683448,0.0958288159539169,0.22839473954108858,0.08713994166269812,0.07188865330983307,20-25 (equo-alto)
1995-03-31,21.15,0.025581700973882127,0.02219470724543471,0.26110406012642673,0.11043519824384518,0.09447594791601333,0.23048223182709449,0.08363399655962267,0.07042409654988568,20-25 (equo-alto)
1995-04-30,21.64,0.03215553077157063,0.02875804712847785,0.2566970968742526,0.10423044794576364,0.09322329209670421,0.22684781560202816,0.07721207244508599,0.06926666542627502,20-25 (equo-alto)
1995-05-31,22.2,0.033477601018552905,0.0314405229613548,0.2412777693867605,0.10206175585968036,0.09195654403357523,0.21199012994656607,0.07541916262364778,0.06786064753150134,20-25 (equo-alto)
