,Bitcoin,Oro,Argento,Rame,Petrolio (WTI),Treasury USA 20+,Nasdaq 100,Energy,Healthcare,Financials,Value (S&P500),Consumer Staples,Small Cap (Russell 2000),Real Estate (REIT),Difesa & Aerospazio,Semiconduttori,USA (S&P 500),ACWI (ETF),Mercati Emergenti,Europa,Germania,Regno Unito,Cina,Giappone,America Latina,Corea del Sud,Australia,India,Canada,Taiwan,MSCI World
Value (S&P500),0.29129290064922225,0.06337510569771097,0.21269890826274263,0.46266092291836164,0.28368263397501575,-0.13842138032528145,0.7347379280791619,0.6590877126078442,0.7375687837283412,0.905149321759621,1.0,0.6797769144312942,0.8771056252732637,0.7678827779487285,0.8237524643019026,0.6872237534339928,0.9439300894427806,0.931889327778379,0.7270144195938116,0.8564191349810519,0.8294155205388013,0.8375712610184556,0.47757800131508893,0.6530055904061673,0.6731425990148094,0.649592656800456,0.7578284747827168,0.6178630704163912,0.8118574794569167,0.6165278657563533,0.9423459625144255
Consumer Staples,0.17306125869211633,0.15147074283262654,0.17348824185029732,0.23309933030291827,0.11727937102132749,0.0707036443615091,0.31995204010880757,0.37728914882648695,0.577574586463966,0.5471209138319968,0.6797769144312942,1.0,0.5052614723319505,0.6295551480504331,0.5750717108810568,0.3899477077710242,0.6093025987748575,0.6845629626848205,0.49900169915111514,0.667364321025662,0.48178592126062153,0.565840498433437,0.3142919320098612,0.38827953575389257,0.48637800523751756,0.3934368762968098,0.48701534387983664,0.46387890316202895,0.45944332848910957,0.3288570859421901,0.6819399216030504
Small Cap (Russell 2000),0.2750582595919027,0.040113450049167325,0.1964379909478801,0.4075345218382565,0.2773371671754714,-0.145440788067656,0.7603874984056659,0.607296552304831,0.6443120960527012,0.7878162493731657,0.8771056252732637,0.5052614723319505,1.0,0.7346393540909922,0.7968891416755906,0.742864430283128,0.873041538483673,0.8667216405755755,0.7026747074967331,0.7536026070682559,0.7454705928299428,0.726952599892328,0.4240318398936716,0.6351173346031486,0.6024036866697289,0.6719157458477588,0.7463759304564794,0.5578576543610321,0.7795799061364092,0.6463938930133591,0.865954418412407
Real Estate (REIT),0.21220921694480038,0.13466628390892108,0.20333933747862198,0.306919327614604,0.1582627476416484,0.1370832349510116,0.6156418572977701,0.4022938202244229,0.5889998848056448,0.7131470912089529,0.7678827779487285,0.6295551480504331,0.7346393540909922,1.0,0.6197317869861737,0.5064052562870928,0.7345903461585099,0.7655805597344549,0.6047077119000251,0.6898847707253309,0.6694359037678288,0.6498534781545028,0.3609270863155707,0.5648653520169031,0.508775178779165,0.5451866831713923,0.7000095263716593,0.5722271837958981,0.6530929319241934,0.5616553657642153,0.7382944144053227
Difesa & Aerospazio,0.27108037964765735,0.038332866592838646,0.18208809511863464,0.3641230097872781,0.29481898663198525,-0.16250793983132952,0.668049816522843,0.5907063955252101,0.6065798115224754,0.7483237594454165,0.8237524643019026,0.5750717108810568,0.7968891416755906,0.6197317869861737,1.0,0.5801937122990333,0.7920705168382511,0.7784726960669559,0.6135829672965514,0.7313376840956486,0.7117367170263629,0.7268652096723248,0.36891265095643466,0.6408040552514145,0.5781674558465861,0.5990822726549441,0.6662888338629095,0.520795301977587,0.7133152727250667,0.5347536404832319,0.7892136070356489
Semiconduttori,0.1796786068768477,-0.02521076374576691,0.11110004259516944,0.3757912999341529,0.1297085279314405,-0.089079518348414,0.8720856037304844,0.3657849286399684,0.48135826278056865,0.5492226625929879,0.6872237534339928,0.3899477077710242,0.742864430283128,0.5064052562870928,0.5801937122990333,1.0,0.7744848474632329,0.76353155949163,0.6506890473666328,0.6292525421758368,0.6452701637314588,0.5459660268211286,0.3557417539436972,0.5389937833405523,0.45943810245066946,0.6955289798617357,0.5674145055982742,0.4499438366259721,0.5960043441497943,0.7286981109557278,0.7405229141490935
USA (S&P 500),0.34404215936513916,0.06912996450630976,0.23156707115093886,0.4414009376841723,0.26081983155731037,-0.10000081533901198,0.8416070202317892,0.5752267372906641,0.751017235105571,0.8141378087839198,0.9439300894427806,0.6093025987748575,0.873041538483673,0.7345903461585099,0.7920705168382511,0.7744848474632329,1.0,0.9634669042260524,0.7397253580077243,0.8469896709182412,0.7913315786883294,0.791249491373651,0.47945090035911714,0.633641686956026,0.6351582296103137,0.6880413621570588,0.7292156174930298,0.6143462622382835,0.8099755687937855,0.6735869592945939,0.9714113513378448
ACWI (ETF),0.31952462432389067,0.1671165931392903,0.3461578711422831,0.5789544190450783,0.3804032846179259,-0.06513948815297743,0.8795243048891647,0.6271045689935418,0.7160527173611152,0.8405204201407532,0.931889327778379,0.6845629626848205,0.8667216405755755,0.7655805597344549,0.7784726960669559,0.76353155949163,0.9634669042260524,1.0,0.8755736339835208,0.9384521859168675,0.9066836913482212,0.8971630207608268,0.6046485280461931,0.8091684471130685,0.7226637990837276,0.7697755855205175,0.8797057871137857,0.7005339684216185,0.8866595001993294,0.8034756237966237,0.9882976192623307
Mercati Emergenti,0.14931109096028844,0.3406772093162285,0.4240213536146921,0.5485476921461945,0.3353919242312501,-0.05056387949930928,0.6917753960310139,0.5484899054291916,0.48460873188427783,0.6084178370158156,0.7270144195938116,0.49900169915111514,0.7026747074967331,0.6047077119000251,0.6135829672965514,0.6506890473666328,0.7397253580077243,0.8755736339835208,1.0,0.8238611655485835,0.8034327269389835,0.793808849615037,0.7781597786054131,0.6874718156362083,0.80081289315554,0.8469925243845245,0.8398855591201687,0.7490829441912938,0.8131089147178057,0.8348937220696375,0.8143264597705461
Europa,0.2551733444349595,0.21032016981615495,0.35110857267779266,0.5073436689476043,0.3835918343844272,-0.0706231580425598,0.7284533822924452,0.6020368700271963,0.6659640323200834,0.7643328094565134,0.8564191349810519,0.667364321025662,0.7536026070682559,0.6898847707253309,0.7313376840956486,0.6292525421758368,0.8469896709182412,0.9384521859168675,0.8238611655485835,1.0,0.9525053806073139,0.9542571756971435,0.5873000550982765,0.7559065528944356,0.716586167136651,0.7147546002932419,0.8509090013307,0.6856897925812736,0.8338064418257015,0.7090348405606564,0.9289353403249311
