Date,leaps_nav,leaps_options_value,leaps_bond_value,bh_nav
2008-02-19,554205.7237402415,332641.76966001047,221563.95408023105,317418.36364715855
2008-02-20,566260.9624985269,345416.1241248126,220844.8383737143,320091.7751385876
2008-02-21,547602.7308895141,323719.9614355519,223882.76945396228,315999.12186673045
2008-02-22,558756.0449535785,335220.3826346387,223535.66231893978,318515.1380895855
2008-02-25,579397.6621231257,358108.4445058634,221289.21761726236,322940.63829606725
2008-02-26,589685.1758418476,367797.33576565783,221887.8400761897,325201.02871601115
2008-02-27,584561.1980045801,362073.3802528828,222487.8177516973,324928.524537164
2008-02-28,570658.9376965658,345489.5237192446,225169.4139773212,322049.5323626306
2008-02-29,533311.5349474151,304663.8789947386,228647.65595267643,313351.5489289998
2008-03-03,531664.1112405736,303178.77697698417,228485.33426358938,313545.17630788445
2008-03-04,526480.056619251,299710.5384134411,226769.51820580996,312490.64319213224
2008-03-05,532733.0616430908,307280.15646143525,225452.90518165551,314153.93680729665
2008-03-06,504357.56478655356,277338.47763739404,227019.08714915952,307264.6777339494
2008-03-07,493591.56802671595,265382.07206105284,228209.4959656631,304706.3950270055
2008-03-10,475389.0902441845,245207.57444354185,230181.5158006426,300020.2825096784
2008-03-11,524293.6348481402,296819.6747980384,227473.96005010186,311185.3019084193
2008-03-12,511448.8344977956,281815.49664121814,229633.33785657748,308412.26664445037
2008-03-13,517682.3192604056,289383.49736926844,228298.82189113717,310019.4932241535
2008-03-14,492234.4030894826,261574.68147672518,230659.72161275745,303602.4334524964
2008-03-17,481655.80322753603,249003.9870984373,232651.81612909876,300908.17059221864
2008-03-18,538116.4340940503,308202.3389790358,229914.09511501453,313694.93498222553
2008-03-19,507556.0559163535,275655.9409511549,231900.11496519853,306102.6306843438
2008-03-20,538791.3754936199,306071.69607450074,232719.67941911917,313457.9189308381
2008-03-24,559787.622308784,331388.95630237146,228398.6660064126,318286.98948545015
2008-03-25,562839.0277529452,333437.4015727124,229401.6261802328,319047.1444207966
2008-03-26,550441.2565583898,321007.6780087962,229433.5785495936,316277.37219590833
2008-03-27,534662.3970268319,306171.9543662047,228490.44266062722,312679.3660779973
2008-03-28,524022.7652249252,293752.0918693778,230270.67335554736,310219.88803676586
2008-03-31,531320.9776931027,300627.1362866388,230693.84140646385,312010.3587393472
2008-04-01,585278.4721558196,356906.12484627106,228372.34730954858,323235.82018058124
2008-04-02,582147.161793177,354324.8112200657,227822.35057311138,322637.0021471681
2008-04-03,583579.5184187884,355918.2707935824,227661.24762520613,323083.25272003823
2008-04-04,584527.2246858526,354704.73101821094,229822.49366764177,323366.756113723
2008-04-07,586520.3346738727,358033.3650527662,228486.9696211065,323898.07856682135
