start,end,cagr_leaps,cagr_bh,mdd_leaps,mdd_bh,vol_leaps,vol_bh,sharpe_leaps,sharpe_bh,sortino_leaps,sortino_bh,calmar_leaps,calmar_bh,window
1988-03-21,1998-03-09,0.31107736925316365,0.1772963686712965,-0.45420628613650826,-0.19213911038452247,0.3263095956779988,0.12821300738794883,0.7719556879809353,0.7724335812395099,1.1081886640873402,1.0609914135647722,0.6848812505418996,0.9227500237535106,10y
1988-06-20,1998-06-08,0.33450468884667806,0.18380899855451016,-0.4454788631868152,-0.19213911038452203,0.3242355434085453,0.1262630118826634,0.8320576190517699,0.8324786836403135,1.1924893670072578,1.152136994631559,0.7508879017373284,0.9566454127254932,10y
1988-09-19,1998-09-04,0.277938658715005,0.1672526248905848,-0.4740252038042171,-0.1921391103845227,0.33356520647057675,0.13011942551894504,0.6913753923986459,0.710561401457492,0.9466249664067288,0.9420088379135269,0.5863373012330371,0.8704767319670978,10y
1988-12-16,1998-12-04,0.3492476446169208,0.18738358275058875,-0.48177428233401653,-0.1921391103845227,0.3486239249588536,0.1349509273882964,0.8348251954803239,0.8244409184813569,1.1592539736419452,1.1021531798555817,0.7249196510136373,0.975249559423811,10y
1989-03-20,1999-03-09,0.3731304260447392,0.189033346941903,-0.45420628613650793,-0.1921391103845228,0.3508409882677562,0.1372591558693186,0.8847044448409064,0.830851629518318,1.2628613517895055,1.1216876979804997,0.8214999163014621,0.9838358601931468,10y
1989-06-19,1999-06-08,0.35445339165712,0.18079439843020806,-0.4454788631868153,-0.19213911038452247,0.35403351625669344,0.13947795748167904,0.8436810303409606,0.7762516685178648,1.210111501286012,1.0508402335523,0.7956682593680702,0.9409557381024063,10y
1989-09-18,1999-09-07,0.32287875571883906,0.17479477561111834,-0.474025203804217,-0.1921391103845227,0.3542183956747159,0.14073502075407898,0.7785355068138803,0.7383164001698436,1.1037454660335841,1.0049545469424266,0.6811425914226181,0.9097303264353956,10y
1989-12-15,1999-12-06,0.33343689337972515,0.1784452032362529,-0.48177428233401665,-0.19213911038452258,0.36350408144261265,0.14122268837049895,0.7907153740248866,0.7615863420258067,1.1392276738279286,1.0588443821064073,0.6921018941989759,0.9287292049970229,10y
1990-03-19,2000-03-07,0.32848260711294675,0.17516102846226778,-0.45420628613650815,-0.19213911038452247,0.36523279548869386,0.14298519619578634,0.7797092783091069,0.7376649293539894,1.1280653054869398,1.012054240780361,0.7232013671739979,0.9116365122734411,10y
1990-06-18,2000-06-06,0.34278973251811307,0.1760796213565201,-0.44490419080583055,-0.19213911038452247,0.371348994822668,0.14843824337624414,0.8033394234142051,0.7253240842009402,1.1711511873692408,0.9989639327056139,0.7704798911811481,0.9164173863620844,10y
1990-09-17,2000-09-05,0.3934520263861718,0.19544707420610363,-0.4058328214441277,-0.1919096132868171,0.3622424543416451,0.14719661949166268,0.9187032946673966,0.8458378735562384,1.3386638145063952,1.174262819193907,0.9694928689752108,1.0184329531944794,10y
1990-12-14,2000-12-04,0.33600445714613447,0.17483141077236897,-0.4061085233211228,-0.19190961328681677,0.369232465777106,0.14780234139217427,0.7958935770079348,0.7299110193224443,1.154675672832233,1.012458659573014,0.8273760284524863,0.9110091348632768,10y
1991-03-18,2001-03-07,0.2758842991224473,0.15382616697669382,-0.4390708677843328,-0.1919096132868171,0.37267528706034503,0.14996745078773585,0.6700882734788378,0.6058880200317655,0.9792964245495042,0.836834387719617,0.6283366066043782,0.8015552964863415,10y
1991-06-17,2001-06-06,0.2709700840759133,0.15137593728606258,-0.5509423393607287,-0.26940145382116676,0.3737583705259729,0.154028449422343,0.6607680331881208,0.5848784502734937,0.9681420618468505,0.8044959195980254,0.4918302056624042,0.5618972545951756,10y
1991-09-16,2001-09-05,0.23629689691510136,0.13727327324438554,-0.5676383717147785,-0.2694014538211672,0.3724869334883631,0.15476301699083492,0.58948422119996,0.5078423114231811,0.8635022298263337,0.6995151135667039,0.41628069681278274,0.5095491182297391,10y
1991-12-13,2001-12-10,0.22802694704181126,0.13822087742229439,-0.6814224814134975,-0.3566315900237651,0.385717690224018,0.15792948326366363,0.5665966089915626,0.5104972554720763,0.8291255207752666,0.7026830801177549,0.3346337305584743,0.3875732865198051,10y
1992-03-16,2002-03-13,0.21309685223430908,0.13216948677404994,-0.6918028945327175,-0.3566315900237649,0.3891992956929473,0.15895660397489383,0.5349675476668805,0.478098188312975,0.7836803199437303,0.6570644189095955,0.3080311659844191,0.3706051019351442,10y
1992-06-15,2002-06-12,0.1719456104357815,0.11680259078669941,-0.7276241435467847,-0.35663159002376454,0.38534282190756997,0.16076798331421918,0.448134090733193,0.39289274631803434,0.6625626399902478,0.5425857007392365,0.23631102947963922,0.3275161092120755,10y
1992-09-14,2002-09-11,0.1452190203067132,0.10109002141326884,-0.821967894118482,-0.46217961541641694,0.40048010905331605,0.16913643227687444,0.3896891359830547,0.3011300839641912,0.5764864504547926,0.4160705815671956,0.17667237533949312,0.21872453488063992,10y
1992-12-11,2002-12-10,0.12605669541079956,0.09630451606521517,-0.8252975236663176,-0.4742670961186787,0.4096918406462304,0.17492737430693653,0.3503980651903868,0.27577913435552937,0.5245691964038042,0.386002370417276,0.15274091075761728,0.2030596616407821,10y
1993-03-15,2003-03-13,0.10346720373195573,0.0831911271017789,-0.8183980465682582,-0.47426709611867857,0.4107783424794107,0.17755292963073446,0.30267033852646674,0.20998538619145415,0.4587725398098794,0.29720563244222353,0.12642650378482553,0.17540986457336163,10y
1993-06-14,2003-06-12,0.1430836346063693,0.10350204155804232,-0.8406997604601701,-0.47426709611867834,0.4195531848234649,0.17956441465420872,0.3902217797171529,0.31631324390332494,0.5943088766094227,0.4493953406520661,0.17019587888076743,0.21823576293840646,10y
1993-09-13,2003-09-11,0.1424715914615058,0.10164977339248016,-0.8290783731236346,-0.47426709611867957,0.4197334043113676,0.18054033223136173,0.39008630645832115,0.30856536125832984,0.5932242479664243,0.4410010216057998,0.17184333360998189,0.21433022493941586,10y
1993-12-10,2003-12-10,0.13745883417326166,0.10530345412069164,-0.8293743008579149,-0.4742670961186791,0.41879511682324067,0.18127907802302753,0.38036249037092335,0.328038634391871,0.5806556134813817,0.4712819697611548,0.16573799553599933,0.22203407105927675,10y
1994-03-11,2004-03-12,0.16192551074463712,0.1113254827159269,-0.8183980465682581,-0.4742670961186787,0.41390339053592257,0.18159861752964707,0.4325044015635204,0.36023214909098733,0.6607418626314382,0.51914996481543,0.19785666818686842,0.23473161774661522,10y
