date,WORLD,ALLWORLD,SP500,NASDAQ,ENERGY,HEALTH,EM,SMALLCAP,GOLD,BTC,COMMODITY,US_20Y,US_10Y,US_2Y,EU_30Y,EU_10Y,EU_3Y,WORLD2X
2019-01-31,102.39116239300434,102.0645374232807,107.14588228598902,113.17662429048214,94.54677034727003,115.79360737228875,97.14295567093055,102.85234291193528,105.019042032165,25.39112325105375,98.8812483968046,103.13719730725148,104.99159256314938,105.6406427274351,93.20856092441923,94.13288200537392,98.05751073248264,107.28109144688622
2019-02-28,106.43587928400949,105.5698204924485,111.66366830899995,117.66266153432797,97.63924922709425,118.15039851303048,96.55865968484449,109.20075650376128,105.45645406877287,28.57359542020529,99.75737800884144,102.6453693557569,105.30245433927273,106.71545149640806,91.31798820309162,94.00697923164239,97.8833676960577,117.02273542713633
2019-03-31,109.46179081854935,108.66835839280724,115.20501327855688,123.91551734315863,101.05051478186256,120.30723730703201,98.95650670381039,108.34445448879593,105.25480150647128,30.8382290525429,101.29397109835988,109.21957578111028,109.93102695927384,108.86872149318816,92.37788621211129,95.21590475796124,98.33007059723154,124.54141888135644
2019-04-30,113.98522837945202,112.83910308018949,120.39215018084528,131.25403610600986,101.44029344629742,117.51145704207171,101.69120610899589,112.473716889805,104.84313041669364,40.353747792813095,100.64698554917993,107.89735331414529,109.63251274916139,109.50982820089988,94.6882761306788,96.02121432961651,97.82121621222339,134.2352277353983
2019-05-31,107.90929054987184,106.50340896145167,113.26172161009099,121.04294804804185,90.61543131053625,115.46258667255411,94.69487455942284,104.14462731620209,107.24099544368349,64.98051744110678,98.66558868949224,114.79525956762645,114.00040428929574,110.9039631808509,94.59529313732554,96.00889554908728,97.64299312660478,122.01230286643536
2019-06-30,112.31163887833453,111.00469540388234,118.56766588453516,127.46141566186925,97.02135337315954,120.45953998286085,98.43505196365167,109.05020067908589,113.31253368255294,80.23325937849285,99.17778210116981,113.9980890639113,113.16643853480024,109.12678795533819,100.5744102101967,99.25712154275094,98.43941649582999,128.92360164388796
2019-07-31,115.53187439589074,113.22006781292092,122.67917904482903,132.95036088303215,97.32285867511958,120.7922478905477,97.66594497506908,111.90881261094867,116.83923562541894,76.2485839853855,100.10782985365616,116.41569822330484,115.33172612864003,111.09959094040889,112.29717025313795,105.11934392947148,99.9953795922517,140.8981803103161
2019-08-31,113.9721767369966,111.67912452514506,121.67220119225972,131.55710925251017,89.99487179177777,121.1189589673453,94.78737661023344,107.31413959340664,125.53905344529109,73.44104243548455,98.8138523280534,128.01022109186832,122.06303675394432,113.05903095746399,119.44203886506988,107.68278134506156,100.29385361422311,136.9825710041569
2019-09-30,117.70196529892434,115.43161070199044,125.39124552949855,134.2112486573879,94.55470468216718,122.30943394116105,97.44144370703201,110.69330268097369,122.44585728792626,63.93611688773299,100.84916732819063,126.20172906723943,121.53274580170503,114.15459631114638,131.86548716617588,112.90971555487597,101.4478022939337,147.70140077050976
2019-10-31,118.41124688425275,116.34167359373353,125.72973504491401,137.43012452134448,90.81656613488084,126.13775220940227,99.59097759134491,111.54081352375856,123.86648257751318,69.57171680891562,100.26957784776187,122.79353508781628,119.28298384944418,112.3693377161882,130.5971449436784,111.91789039324634,101.27875339009391,144.37090108034144
