market,date,cape,fwd5_ann,fwd10_ann
Netherlands,2005-01,14.2,0.059014924344286124,0.06789906539900392
Norway,2005-01,18.2,0.09646238849069033,0.06238353942291375
Spain,2005-01,21.2,0.0909649875448344,0.042864112471100224
Sweden,2005-01,25.2,0.07120152420621984,0.09410058909246577
Switzerland,2005-01,24.1,0.07118017769134499,0.09281702988154783
Thailand,2005-01,60.1,0.08262180580854572,0.12834596701804357
US Large,2005-01,26.9,0.00441218398445975,0.07784842813821413
Asia ex Japan,2005-12,21.4,0.13187119139179226,0.06462333428088951
Australia,2005-12,25.7,0.11783835831081646,0.05662704603568147
Austria,2005-12,43.6,-0.06427020850550347,-0.06905044650711822
Belgium,2005-12,19.0,-0.06167099567007894,0.034701511205460944
Brazil,2005-12,20.1,0.23005933862307937,-0.005481093517300972
Canada,2005-12,30.3,0.10028101091150665,0.026118424737491264
China,2005-12,12.1,0.2057606557542826,0.10306308501741213
Denmark,2005-12,32.3,0.10745379865973859,0.11969969031244254
Developed Markets Large,2005-12,27.1,0.029935189091868653,0.05562192382095432
Emerging Markets,2005-12,22.8,0.13111122292788768,0.03947758232687559
Europe,2005-12,22.1,0.03447888828854273,0.039647694746616224
Finland,2005-12,22.2,0.023080147997930123,0.03317579551075389
France,2005-12,30.2,0.02668356827867746,0.03258335426044412
Germany,2005-12,25.5,0.0699264493951175,0.06074497287475933
India,2005-12,28.1,0.17793051030837592,0.07216226221400213
Indonesia,2005-12,28.7,0.29468966075491787,0.1242809583697273
Italy,2005-12,25.1,-0.042826198475920174,-0.021358165512009752
Japan,2005-12,89.2,-0.023345998442089178,0.010799053657993163
Netherlands,2005-12,16.3,0.04091787151543258,0.0543172262632039
Norway,2005-12,22.0,0.08086624304603274,0.018133033026508594
South Africa,2005-12,21.1,0.1337380021388721,0.03591487112882419
South Korea,2005-12,26.4,0.08086475233059609,0.032621908046880366
Spain,2005-12,22.3,0.05128194147594045,0.024926938222932682
Sweden,2005-12,29.9,0.10782758313974683,0.07050601897911735
Switzerland,2005-12,29.3,0.0637838308231442,0.07285047443088932
Taiwan,2005-12,21.3,0.09575036800407744,0.0478766433637976
Thailand,2005-12,80.0,0.18590346005427838,0.0901426605822635
US Large,2005-12,26.4,0.024427982271606474,0.07365538570030505
Asia ex Japan,2006-07,21.7,0.12044471434718895,0.06406533855989638
Australia,2006-07,25.5,0.0966725788242766,0.05592091127248433
Austria,2006-07,39.5,-0.08291388618988227,-0.08191976027359349
Belgium,2006-07,18.5,-0.08036850071778945,0.022041871359102627
Brazil,2006-07,19.7,0.17237821137108078,0.024393296157508848
Canada,2006-07,30.1,0.08218410194346504,0.03519280666534952
China,2006-07,16.2,0.15008573174843676,0.07573592946565522
Denmark,2006-07,29.6,0.08425324307552495,0.11257299303241597
Developed Markets Large,2006-07,26.1,0.02346994637051525,0.0538933200052949
Emerging Markets,2006-07,22.1,0.11340894665231516,0.04241063566388181
Europe,2006-07,21.8,0.01619660156193725,0.02389990120598884
Finland,2006-07,21.7,-0.03742036664635717,0.016895791628663392
France,2006-07,28.5,0.007640225338685358,0.01811506680684971
Germany,2006-07,24.2,0.06408318864765516,0.046827353177837816
India,2006-07,29.6,0.1300457951678109,0.06902883983429176
Indonesia,2006-07,33.5,0.274636788034085,0.11705401437427865
Italy,2006-07,23.9,-0.06658767827425505,-0.052467357461259745
Japan,2006-07,73.9,-0.028582821948721637,0.01013593654415712
Netherlands,2006-07,16.3,0.01659494881177559,0.04383386412178614
Norway,2006-07,23.5,0.040047249357251236,-0.0017234822688352303
South Africa,2006-07,21.5,0.12243443420984312,0.05980842593419533
South Korea,2006-07,23.2,0.09780974625039573,0.040502127228742024
Spain,2006-07,22.6,0.02798309106333763,0.00043111633150982875
Sweden,2006-07,27.3,0.08752207541427959,0.05837098455957768
Switzerland,2006-07,29.0,0.05418553653311786,0.058390959300080425
Taiwan,2006-07,21.3,0.09422736149033661,0.06477710734280051
Thailand,2006-07,85.4,0.20301708022894727,0.1118077418156509
US Large,2006-07,25.5,0.02691625527771402,0.07841196932608674
Asia ex Japan,2006-12,25.8,0.028692884496636317,0.039928112453731845
Australia,2006-12,27.5,0.03278762408714675,0.03870328617543195
Austria,2006-12,44.0,-0.19648859453832213,-0.08782190406387069
Belgium,2006-12,20.5,-0.13824485560459165,-0.004944635182426493
Brazil,2006-12,21.8,0.08655645606222473,0.007960631850612021
Canada,2006-12,31.9,0.03659759945464258,0.032148518933648784
China,2006-12,23.9,0.02644794674931683,0.039592578815881296
Denmark,2006-12,34.8,0.001281399319771559,0.06527948534482264
Developed Markets Large,2006-12,28.0,-0.018178710636187256,0.04414012151333235
Emerging Markets,2006-12,25.4,0.027086749485796258,0.02174984348453779
Europe,2006-12,23.3,-0.04625660842781698,0.009619558260888672
Finland,2006-12,22.7,-0.10008935518860196,0.0022213891821496468
France,2006-12,29.4,-0.06683844461089106,0.007612702062172572
Germany,2006-12,26.8,-0.032873614931955064,0.031567339739369205
India,2006-12,37.2,-0.011534287579896274,0.02738913086736683
Indonesia,2006-12,44.3,0.17249365425232055,0.08050223531604028
Italy,2006-12,25.5,-0.14164855137283805,-0.0590807749580079
Japan,2006-12,71.4,-0.06434116447581295,0.007318618883532579
Netherlands,2006-12,17.6,-0.04019537719286981,0.03038686995806983
Norway,2006-12,26.1,-0.017384647387565955,-0.006445970421620428
South Africa,2006-12,24.8,0.0588261005163877,0.03407605395983082
South Korea,2006-12,23.7,0.028342774813801874,0.028966896514412088
Spain,2006-12,25.9,-0.05348931128925849,-0.01637744656797291
Sweden,2006-12,32.0,-0.004164674855610451,0.0336697194103146
Switzerland,2006-12,31.2,-0.00038241397835592217,0.042188764558402925
Taiwan,2006-12,25.3,0.008508060286501973,0.046732318139725226
Thailand,2006-12,92.8,0.1545088948885356,0.10432848266639727
US Large,2006-12,27.9,-0.00043120353685566215,0.07014976010251983
Asia ex Japan,2007-07,30.3,-0.000519180776196948,0.04298703193309472
Australia,2007-07,28.2,0.01810545832011856,0.0336788233876284
Austria,2007-07,39.8,-0.2076266060727454,-0.05872561072557203
Belgium,2007-07,18.9,-0.11312611096304448,0.008825668217316007
Brazil,2007-07,23.7,0.007103394741271751,-0.010098923762781098
Canada,2007-07,31.3,0.0033021080304613815,0.022258002459677906
China,2007-07,32.7,-0.0215028283741443,0.04110173217800539
Denmark,2007-07,36.4,0.0029009834070414797,0.0726927389336085
Developed Markets Large,2007-07,27.0,-0.017074077879808525,0.0504272350593189
Emerging Markets,2007-07,28.7,-0.0043124326204381225,0.02314629433343507
Europe,2007-07,22.8,-0.05751584428807455,0.017424864963182518
Finland,2007-07,25.4,-0.15669125220161528,-0.0007795899689775343
