date,market,cape
2005-12,South Korea,26.4
2005-12,Spain,22.3
2005-12,Sweden,29.9
2005-12,Switzerland,29.3
2005-12,Taiwan,21.3
2005-12,Thailand,80.0
2005-12,Turkey,21.3
2005-12,US Large,26.4
2006-07,Asia ex Japan,21.7
2006-07,Australia,25.5
2006-07,Austria,39.5
2006-07,Belgium,18.5
2006-07,Brazil,19.7
2006-07,Canada,30.1
2006-07,Chile,29.6
2006-07,China,16.2
2006-07,Colombia,45.3
2006-07,Czech Republic,40.8
2006-07,Denmark,29.6
2006-07,Dev ex US Large,26.5
2006-07,Developed Markets Large,26.1
2006-07,Emerging Markets,22.1
2006-07,Europe,21.8
2006-07,Europe ex UK,24.4
2006-07,Finland,21.7
2006-07,France,28.5
2006-07,Germany,24.2
2006-07,Hong Kong,19.2
2006-07,Hungary,24.7
2006-07,India,29.6
2006-07,Indonesia,33.5
2006-07,Ireland,15.9
2006-07,Israel,31.0
2006-07,Italy,23.9
2006-07,Japan,73.9
2006-07,Malaysia,23.4
2006-07,Mexico,30.2
2006-07,Netherlands,16.3
2006-07,New Zealand,20.0
2006-07,Norway,23.5
2006-07,Peru,21.3
2006-07,Philippines,20.4
2006-07,Poland,24.9
2006-07,Portugal,18.5
2006-07,Singapore,22.7
2006-07,South Africa,21.5
2006-07,South Korea,23.2
2006-07,Spain,22.6
2006-07,Sweden,27.3
2006-07,Switzerland,29.0
2006-07,Taiwan,21.3
2006-07,Thailand,85.4
2006-07,Turkey,17.6
2006-07,US Large,25.5
2006-12,Asia ex Japan,25.8
2006-12,Australia,27.5
2006-12,Austria,44.0
2006-12,Belgium,20.5
2006-12,Brazil,21.8
2006-12,Canada,31.9
2006-12,Chile,37.0
2006-12,China,23.9
2006-12,Colombia,47.9
2006-12,Czech Republic,43.5
2006-12,Denmark,34.8
2006-12,Dev ex US Large,27.8
2006-12,Developed Markets Large,28.0
2006-12,Emerging Markets,25.4
2006-12,Europe,23.3
2006-12,Europe ex UK,26.5
2006-12,Finland,22.7
2006-12,France,29.4
2006-12,Germany,26.8
2006-12,Hong Kong,22.5
2006-12,Hungary,24.8
2006-12,India,37.2
2006-12,Indonesia,44.3
2006-12,Ireland,19.2
2006-12,Israel,32.0
2006-12,Italy,25.5
2006-12,Japan,71.4
2006-12,Malaysia,27.5
2006-12,Mexico,35.4
2006-12,Netherlands,17.6
2006-12,New Zealand,22.5
2006-12,Norway,26.1
2006-12,Peru,34.7
2006-12,Philippines,26.3
2006-12,Poland,25.1
2006-12,Portugal,20.8
2006-12,Singapore,27.8
2006-12,South Africa,24.8
2006-12,South Korea,23.7
2006-12,Spain,25.9
2006-12,Sweden,32.0
2006-12,Switzerland,31.2
2006-12,Taiwan,25.3
2006-12,Thailand,92.8
2006-12,Turkey,18.1
2006-12,US Large,27.9
2007-07,Asia ex Japan,30.3
2007-07,Australia,28.2
2007-07,Austria,39.8
2007-07,Belgium,18.9
2007-07,Brazil,23.7
2007-07,Canada,31.3
2007-07,Chile,42.9
2007-07,China,32.7
2007-07,Colombia,44.8
2007-07,Czech Republic,46.4
2007-07,Denmark,36.4
2007-07,Dev ex US Large,27.0
2007-07,Developed Markets Large,27.0
2007-07,Egypt,48.2
2007-07,Emerging Markets,28.7
2007-07,Europe,22.8
2007-07,Europe ex UK,25.8
2007-07,Finland,25.4
2007-07,France,27.4
2007-07,Germany,27.7
2007-07,Hong Kong,24.9
2007-07,Hungary,25.2
2007-07,India,38.7
2007-07,Indonesia,55.7
2007-07,Ireland,16.6
2007-07,Israel,37.3
2007-07,Italy,22.8
2007-07,Japan,62.1
2007-07,Malaysia,34.2
2007-07,Mexico,36.9
2007-07,Netherlands,18.6
2007-07,New Zealand,22.8
2007-07,Norway,27.8
2007-07,Peru,54.7
2007-07,Philippines,32.5
2007-07,Poland,27.7
2007-07,Portugal,23.0
2007-07,Singapore,32.3
2007-07,South Africa,24.6
2007-07,South Korea,27.9
2007-07,Spain,24.9
2007-07,Sweden,32.0
2007-07,Switzerland,29.1
2007-07,Taiwan,27.4
2007-07,Thailand,120.2
2007-07,Turkey,22.7
2007-07,US Large,26.7
2008-01,Asia ex Japan,27.4
2008-01,Australia,24.6
2008-01,Austria,28.0
2008-01,Belgium,13.7
2008-01,Brazil,24.7
2008-01,Canada,28.6
2008-01,Chile,34.3
2008-01,China,30.5
2008-01,Colombia,37.7
2008-01,Czech Republic,41.3
2008-01,Denmark,29.1
2008-01,Dev ex US Large,22.4
2008-01,Developed Markets Large,23.5
2008-01,Egypt,52.3
2008-01,Emerging Markets,25.9
2008-01,Europe,19.1
2008-01,Europe ex UK,20.8
2008-01,Finland,23.7
2008-01,France,21.5
2008-01,Germany,23.0
2008-01,Hong Kong,25.8
2008-01,Hungary,18.0
2008-01,India,41.4
2008-01,Indonesia,65.3
2008-01,Ireland,12.4
2008-01,Israel,31.1
2008-01,Italy,18.5
2008-01,Japan,44.2
2008-01,Malaysia,33.8
2008-01,Mexico,31.4
2008-01,Netherlands,15.1
2008-01,New Zealand,19.0
2008-01,Norway,20.2
2008-01,Peru,44.6
2008-01,Philippines,29.6
2008-01,Poland,20.6
2008-01,Portugal,18.3
2008-01,Singapore,25.3
2008-01,South Africa,22.1
2008-01,South Korea,21.8
2008-01,Spain,20.7
2008-01,Sweden,22.0
2008-01,Switzerland,23.0
2008-01,Taiwan,21.6
2008-01,Thailand,89.9
2008-01,Turkey,17.0
2008-01,US Large,24.4
2008-07,Asia ex Japan,22.9
2008-07,Australia,20.2
2008-07,Austria,23.7
2008-07,Belgium,9.5
2008-07,Brazil,22.0
2008-07,Canada,27.6
2008-07,Chile,36.0
2008-07,China,28.4
2008-07,Colombia,36.3
2008-07,Czech Republic,37.7
2008-07,Denmark,27.3
2008-07,Dev ex US Large,19.0
2008-07,Developed Markets Large,20.4
2008-07,Egypt,37.2
2008-07,Emerging Markets,22.3
2008-07,Europe,16.2
2008-07,Europe ex UK,17.2
2008-07,Finland,17.1
2008-07,France,18.2
2008-07,Germany,19.7
2008-07,Hong Kong,21.2
2008-07,Hungary,15.4
2008-07,India,30.4
2008-07,Indonesia,48.0
2008-07,Ireland,7.3
2008-07,Israel,28.3
2008-07,Italy,14.1
2008-07,Japan,38.1
2008-07,Malaysia,24.5
2008-07,Mexico,25.7
2008-07,Netherlands,12.2
2008-07,New Zealand,15.5
2008-07,Norway,20.3
2008-07,Peru,35.6
2008-07,Philippines,22.3
2008-07,Poland,18.7
2008-07,Portugal,13.1
2008-07,Singapore,22.9
2008-07,South Africa,20.2
2008-07,South Korea,18.7
2008-07,Spain,17.3
2008-07,Sweden,18.3
2008-07,Switzerland,20.1
2008-07,Taiwan,18.7
2008-07,Thailand,35.0
2008-07,Turkey,15.1
2008-07,US Large,21.4
2009-01,Asia ex Japan,14.1
2009-01,Australia,14.1
2009-01,Austria,9.0
2009-01,Belgium,5.3
2009-01,Brazil,13.6
2009-01,Canada,17.3
2009-01,Chile,28.1
2009-01,China,16.8
2009-01,Colombia,29.7
2009-01,Czech Republic,21.2
2009-01,Denmark,16.9
2009-01,Dev ex US Large,12.9
2009-01,Developed Markets Large,13.9
2009-01,Egypt,14.1
2009-01,Emerging Markets,13.2
2009-01,Europe,11.1
2009-01,Europe ex UK,11.3
2009-01,Finland,9.7
2009-01,France,12.0
2009-01,Germany,12.2
2009-01,Hong Kong,12.9
2009-01,Hungary,6.7
2009-01,India,17.2
2009-01,Indonesia,19.6
2009-01,Ireland,3.6
2009-01,Israel,21.4
2009-01,Italy,8.9
2009-01,Japan,20.8
2009-01,Malaysia,17.5
2009-01,Mexico,17.1
2009-01,Netherlands,8.4
2009-01,New Zealand,12.0
2009-01,Norway,10.1
2009-01,Peru,18.9
2009-01,Philippines,16.7
2009-01,Poland,10.5
