date,bucket_lt40,bucket_40_70,bucket_70_100,bucket_gt100
2006-07-31,1.096598205509987,0.7441449092681957,1.092693976215386,1.0554469547063186
2006-08-31,1.096598205509987,0.7441449092681957,1.092693976215386,1.07963525783126
2006-09-30,1.096598205509987,0.7441449092681957,1.092693976215386,1.1069626996213717
2006-10-31,1.096598205509987,0.7441449092681957,1.1322048408852272,1.1069626996213717
2006-11-30,1.096598205509987,0.7441449092681957,1.1322048408852272,1.129120140740258
2006-12-31,1.096598205509987,0.7441449092681957,1.1565276008602206,1.129120140740258
2007-01-31,1.096598205509987,0.7441449092681957,1.1645403307400877,1.129120140740258
2007-02-28,1.096598205509987,0.7441449092681957,1.1831269538731255,1.129120140740258
2007-03-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1011869387227524
2007-04-30,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1472194147490478
2007-05-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1861302651909589
2007-06-30,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1902212462026782
2007-07-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1970604914050649
2007-08-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.146770689539994
2007-09-30,1.096598205509987,0.7441449092681957,1.1831269538731255,1.182030946330027
2007-10-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.2173929721092194
2007-11-30,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1588812913289006
2007-12-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1732308010282149
2008-01-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.0953846216711312
2008-02-29,1.096598205509987,0.7441449092681957,1.1831269538731255,1.078253182025869
2008-03-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.0499313983009764
2008-04-30,1.096598205509987,0.7441449092681957,1.1831269538731255,1.0944884137803284
2008-05-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.1225358201937528
2008-06-30,1.096598205509987,0.7441449092681957,1.1831269538731255,1.0748664153510885
2008-07-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.0095309658245006
2008-08-31,1.096598205509987,0.7441449092681957,1.1831269538731255,1.030837469530365
2008-09-30,1.096598205509987,0.7441449092681957,1.1831269538731255,0.9808672499672971
2008-10-31,1.096598205509987,0.7441449092681957,1.1831269538731255,0.7827949875632637
2008-11-30,1.096598205509987,0.7441449092681957,1.0813147625926527,0.7827949875632637
2008-12-31,1.096598205509987,0.7415313439106495,1.0813147625926527,0.7827949875632637
2009-01-31,1.096598205509987,0.7334074481896569,1.0813147625926527,0.7827949875632637
2009-02-28,1.096598205509987,0.6842507664787748,1.0813147625926527,0.7827949875632637
2009-03-31,1.096598205509987,0.6842507664787748,1.019815672755695,0.7827949875632637
2009-04-30,1.096598205509987,0.6842507664787748,1.1454748116144995,0.7827949875632637
2009-05-31,1.096598205509987,0.6842507664787748,1.1454748116144995,0.8349277380384899
2009-06-30,1.096598205509987,0.6842507664787748,1.1454748116144995,0.8588806546067126
2009-07-31,1.096598205509987,0.6842507664787748,1.1454748116144995,0.8698540763507998
2009-08-31,1.096598205509987,0.6842507664787748,1.1454748116144995,0.9404927074812988
2009-09-30,1.096598205509987,0.6842507664787748,1.1454748116144995,0.9748239197438731
2009-10-31,1.096598205509987,0.6842507664787748,1.1454748116144995,0.9982499932607982
2009-11-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0191565994284697
2009-12-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0418415741469493
2010-01-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.055979029719329
2010-02-28,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0253717591486002
2010-03-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.086309967945492
2010-04-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1307175613141764
2010-05-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0642042697996246
2010-06-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0264935093833452
2010-07-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0248606352868577
2010-08-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.033711450352203
2010-09-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.0685594606571673
2010-10-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1174720919294507
2010-11-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1453073657823334
2010-12-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1878410592461068
2011-01-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.2289664110814587
2011-02-28,1.096598205509987,0.6842507664787748,1.1454748116144995,1.267689470604984
2011-03-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.253586919949261
2011-04-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.2814288712392135
2011-05-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.289876496769451
2011-06-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.242633477900622
2011-07-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.2811766839511434
2011-08-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1479260202315917
2011-09-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1388660714255696
2011-10-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.1732473671808452
2011-11-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.193980084717399
2011-12-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.212543502573014
2012-01-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.270534098736309
2012-02-29,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3234214610074604
2012-03-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3615867827482742
2012-04-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3610665158033917
2012-05-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3189966000928068
2012-06-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3037963367826266
2012-07-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3418813598883903
2012-08-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.38734028529403
2012-09-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.429254139610942
2012-10-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.4261507319523508
2012-11-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.3856837911720112
2012-12-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.4158298294499794
2013-01-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.476268226849149
2013-02-28,1.096598205509987,0.6842507664787748,1.1454748116144995,1.5107098872340567
2013-03-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.5518382693441226
2013-04-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.5743987608105767
2013-05-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.64641600766441
2013-06-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.6280127804698616
2013-07-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.6809960846496423
2013-08-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.685241075135158
2013-09-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.7053370245353925
2013-10-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.741448387012144
2013-11-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.8086681910306959
2013-12-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.8361900015249442
2014-01-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.8539607890295153
2014-02-28,1.096598205509987,0.6842507664787748,1.1454748116144995,1.8515499744369586
2014-03-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.9019541511012517
2014-04-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.905790848666262
2014-05-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.9349882268127094
2014-06-30,1.096598205509987,0.6842507664787748,1.1454748116144995,1.996836600616672
2014-07-31,1.096598205509987,0.6842507664787748,1.1454748116144995,2.0267057211981347
2014-08-31,1.096598205509987,0.6842507664787748,1.1454748116144995,2.018052684464234
2014-09-30,1.096598205509987,0.6842507664787748,1.1454748116144995,2.053934343573109
2014-10-31,1.096598205509987,0.6842507664787748,1.1454748116144995,1.9995752523195454
2014-11-30,1.096598205509987,0.6842507664787748,1.2108316207077172,1.9995752523195454
2014-12-31,1.096598205509987,0.6842507664787748,1.2185069334367944,1.9995752523195454
2015-01-31,1.096598205509987,0.676655271090338,1.2185069334367944,1.9995752523195454
2015-02-28,1.096598205509987,0.6957870091810783,1.2185069334367944,1.9995752523195454
2015-03-31,1.096598205509987,0.6961722208813234,1.2185069334367944,1.9995752523195454
2015-04-30,1.096598205509987,0.6961722208813234,1.229210416192161,1.9995752523195454
2015-05-31,1.096598205509987,0.6961722208813234,1.2412432051460993,1.9995752523195454
2015-06-30,1.096598205509987,0.6961722208813234,1.2358375902236434,1.9995752523195454
2015-07-31,1.096598205509987,0.6956178582654358,1.2358375902236434,1.9995752523195454
2015-08-31,1.096598205509987,0.6787533163096359,1.2358375902236434,1.9995752523195454
2015-09-30,1.096598205509987,0.6481612561630794,1.2358375902236434,1.9995752523195454
2015-10-31,1.096598205509987,0.676143151054316,1.2358375902236434,1.9995752523195454
2015-11-30,1.096598205509987,0.6959708456610413,1.2358375902236434,1.9995752523195454
2015-12-31,1.096598205509987,0.6882944971294755,1.2358375902236434,1.9995752523195454
2016-01-31,1.096598205509987,0.6441085938125499,1.2358375902236434,1.9995752523195454
2016-02-29,1.096598205509987,0.6405665821880164,1.2358375902236434,1.9995752523195454
2016-03-31,1.096598205509987,0.681324088436901,1.2358375902236434,1.9995752523195454
2016-04-30,1.096598205509987,0.7006141465405721,1.2358375902236434,1.9995752523195454
2016-05-31,1.096598205509987,0.6984817206390095,1.2358375902236434,1.9995752523195454
2016-06-30,1.096598205509987,0.7059309599287272,1.2358375902236434,1.9995752523195454
2016-07-31,1.096598205509987,0.7292086021802388,1.2358375902236434,1.9995752523195454
2016-08-31,1.096598205509987,0.7379536872712247,1.2358375902236434,1.9995752523195454
