EURUSD,mese
1.003945895085783,1976-07
1.0218869675002362,1976-08
1.0380989263789657,1976-09
1.0639082517898857,1976-10
1.071139124284438,1976-11
1.0845783672100828,1976-12
1.0800462608743255,1977-01
1.074702165030498,1977-02
1.080723660686715,1977-03
1.0885982002688575,1977-04
1.0957515291242785,1977-05
1.0972400691536541,1977-06
1.1326287059151392,1977-07
1.1157121241899106,1977-08
1.1122552314735983,1977-09
1.1347171423734952,1977-10
1.1535565058012802,1977-11
1.2016079529978374,1977-12
1.2203298899425623,1978-01
1.2439999551900405,1978-02
1.2711019508696506,1978-03
1.2653148807452619,1978-04
1.2275164831394125,1978-05
1.2402393027343313,1978-06
1.257313181348615,1978-07
1.2942707595885572,1978-08
1.3122759478565937,1978-09
1.4053932395728057,1978-10
1.3569186827479776,1978-11
1.374964733960181,1978-12
1.3559969492035973,1979-01
1.3494081397618363,1979-02
1.3497076311000982,1979-03
1.3347330641870048,1979-04
1.3200579886121742,1979-05
1.3355317077557034,1979-06
1.385047609014997,1979-07
1.380754899833244,1979-08
1.3957294667463367,1979-09
1.3896398095350122,1979-10
1.395130484069813,1979-11
1.426976396371657,1979-12
1.4410524892699643,1980-01
1.4276752094942682,1980-02
1.3555976274192483,1980-03
1.3394250951531075,1980-04
1.3999223454820027,1980-05
1.4205872478220707,1980-06
1.4382572367795206,1980-07
1.410105050982906,1980-08
1.413299625257699,1980-09
1.378458799573236,1980-10
1.3316383203582998,1980-11
1.2908076679085998,1980-12
1.2868144500651084,1981-01
1.2046539929352726,1981-02
1.203755518920487,1981-03
1.1725085892951668,1981-04
1.1049233772940743,1981-05
1.0640927248443748,1981-06
1.0325463038807923,1981-07
1.0051927616528762,1981-08
1.0529117148825986,1981-09
1.0849572880766174,1981-10
1.0966374502688296,1981-11
1.0816628833557367,1981-12
1.0652906901974224,1982-01
1.030849186297309,1982-02
1.012280723325074,1982-03
0.9968070041815444,1982-04
1.031947321204269,1982-05
0.9752436278266908,1982-06
0.9546785559327101,1982-07
0.94878855961356,1982-08
0.9399036499117918,1982-09
0.9288224703961033,1982-10
0.9134485816986614,1982-11
0.9525821165648769,1982-12
0.9592707564527249,1983-01
0.9419002588335375,1983-02
0.9371083974213478,1983-03
0.9237311176456514,1983-04
0.9179409517725893,1983-05
0.8905874095446729,1983-06
0.8786077560141985,1983-07
0.8509547224480205,1983-08
0.8503557397714967,1983-09
0.8645316631158915,1983-10
0.8419699823001644,1983-11
0.8211054190679222,1983-12
0.8030361083261235,1984-01
0.8283930416322941,1984-02
0.8589411581350036,1984-03
0.8439665912219108,1984-04
0.8137179660574632,1984-05
0.8138177965035502,1984-06
0.7841681540156265,1984-07
0.7753830747599452,1984-08
0.7403425881833083,1984-09
0.7270651388536993,1984-10
0.7465320758407196,1984-11
0.7180803987058436,1984-12
0.7009095619788305,1985-01
0.675652459118747,1985-02
0.6740551719813506,1985-03
0.7240702254710806,1985-04
0.718978872720629,1985-05
0.7316573393737145,1985-06
0.7690937566564462,1985-07
0.7963474684382756,1985-08
0.7835691713391028,1985-09
0.8347821901818805,1985-10
0.8511543833401951,1985-11
0.8716196247880883,1985-12
0.8898885964220618,1986-01
0.9262268787978337,1986-02
0.9523824556727022,1986-03
0.9472911029222505,1986-04
0.9639627874188275,1986-05
0.9599695695753361,1986-06
0.9888205684945617,1986-07
1.0192688545511837,1986-08
1.0271554597920791,1986-09
1.0385361306460297,1986-10
1.0278542729146902,1986-11
1.0425293484895213,1986-12
