indice,anni,finestre,da,a,lordo_mediana,netto_p5,netto_p25,netto_mediana,netto_p75,netto_p95,netto_moltiplicatore_mediano,lordo_moltiplicatore_mediano,erosione_pp,solo_costi_pp,solo_tasse_pp,quota_finestre_negative_netto,reale_p5,reale_p25,reale_mediana,reale_p75,reale_p95,reale_moltiplicatore_mediano,quota_finestre_negative_reale,inflazione_mediana
MSCI ACWI IMI,15,194,1995-06,2026-07,0.07059439755393904,0.01824272583407338,0.027662668466146623,0.051598612210492,0.06329407599558684,0.09417604311873698,2.1269201739200425,2.782120634157693,0.018995785343447036,0.006958863584101027,0.012036921759346009,0.0,-0.0027770102055383493,0.005807740604262923,0.03699331284448093,0.04798114753757682,0.07447549075062354,1.7244052715231823,0.13402061855670103,0.01848440149176589
MSCI ACWI IMI,20,134,1995-06,2026-07,0.06732875751755651,0.02457639040212506,0.03940065905141665,0.049951660058995206,0.06434823155351155,0.07022182857831186,2.6508557576280922,3.6809865188533486,0.017377097458561308,0.00693763692386451,0.010439460534696798,0.0,0.007962090320886416,0.02147292799427236,0.030381823198413427,0.044644308524806386,0.05044480249770078,1.819549209365867,0.007462686567164179,0.018288203305987905
S&P 500,1,362,1995-06,2026-07,0.13174987059840326,-0.2636670011055514,0.016696586576570305,0.0927211832886341,0.18184058302755285,0.299162808429872,1.092721183288634,1.1317498705984033,0.03902868730976916,0.006450974262411258,0.032577713047357904,0.20718232044198895,-0.2814983974601319,-0.011600106906545449,0.07605675999970574,0.15664107629208612,0.28119941544401067,1.0760567599997057,0.27348066298342544,0.02003731812552334
S&P 500,3,338,1995-06,2026-07,0.1332574270287784,-0.13801732802280617,0.03637209253149143,0.09659895002328778,0.13168896345305658,0.24400681040872746,1.3186923510632922,1.455411282804932,0.03665847700549063,0.006459567334064498,0.030198909671426133,0.21005917159763313,-0.1581260922729948,0.014213802874088799,0.07065556170541676,0.11762183148418104,0.21148167272692284,1.2272964500510959,0.23372781065088757,0.021147062345178158
S&P 500,5,314,1995-06,2026-07,0.13031786987105143,-0.06274607275708463,-0.005718128490499658,0.0967488865853191,0.12474557241640655,0.16256465408656917,1.5868521250341754,1.8450307450952965,0.03356898328573232,0.006442811858265229,0.027126171427467094,0.28343949044585987,-0.08458347215413306,-0.02515387476327066,0.07164014484743941,0.11101691582560891,0.14427540470301306,1.4133342130211053,0.3630573248407643,0.02178391788647349
S&P 500,10,254,1995-06,2026-07,0.09267471404453409,-0.045955026010978395,0.02953932865187614,0.06936824792679408,0.11745650183817341,0.13680653280780591,1.9555697285618363,2.4261047075078777,0.02330646611774001,0.0062282458700542165,0.017078220247685794,0.18110236220472442,-0.06709872023178616,0.007155576423893362,0.05088292828612084,0.09793661388107333,0.12434476026697341,1.6426438967143921,0.21653543307086615,0.01948207511088651
S&P 500,15,194,1995-06,2026-07,0.09028355605876792,0.01857840311045004,0.02867476691020132,0.06960057044641266,0.0916866507183618,0.13587409470378953,2.74364349048819,3.6567556839237563,0.020682985612355265,0.006214616269535234,0.014468369342820031,0.0,-0.0030637577083547697,0.007276052356331941,0.05322050622369856,0.0767495108695303,0.11532045079947582,2.176659874858878,0.10824742268041238,0.01848440149176589
S&P 500,20,134,1995-06,2026-07,0.08395670937559208,0.035898730568496864,0.04794891634797149,0.06569519210900843,0.08364417288992965,0.09533627327130417,3.5699341225572176,5.014629394825583,0.01826151726658365,0.006178553243441187,0.012082964023142462,0.0,0.0189427220020285,0.03071171673717743,0.046337106589984245,0.06374055529735895,0.07488522365645567,2.474210262651445,0.0,0.018288203305987905
Nasdaq Composite,1,362,1995-06,2026-07,0.16814350838140235,-0.31568452411554704,-0.0008017906495404459,0.11751078663262016,0.22458870588554142,0.4028233857470007,1.1175107866326202,1.1681435083814025,0.050632721748782195,0.009345148067050668,0.041287573681731526,0.2513812154696133,-0.33994986972305974,-0.02024183043649927,0.09670444208754547,0.20314684621392942,0.38483032389212446,1.0967044420875456,0.2900552486187845,0.02003731812552334
Nasdaq Composite,3,338,1995-06,2026-07,0.14633457657808002,-0.17864993141159008,0.029821708753882736,0.10471269539799466,0.1581668076070067,0.29987750877343566,1.3481806771438785,1.5063790728042157,0.04162188118008536,0.009170676612624273,0.03245120456746109,0.21301775147928995,-0.19957383620347527,0.007762705314518004,0.08265749246572707,0.14411103096449684,0.2671133736898724,1.2690339981470966,0.23076923076923078,0.021147062345178158
