indice,anni,finestre,da,a,lordo_mediana,netto_p5,netto_p25,netto_mediana,netto_p75,netto_p95,netto_moltiplicatore_mediano,lordo_moltiplicatore_mediano,erosione_pp,solo_costi_pp,solo_tasse_pp,quota_finestre_negative_netto,reale_p5,reale_p25,reale_mediana,reale_p75,reale_p95,reale_moltiplicatore_mediano,quota_finestre_negative_reale,inflazione_mediana
Nasdaq Composite,3,583,1975-01,2026-07,0.13934945867006787,-0.12141583034697888,0.033650381935793394,0.09928579577326602,0.16466227805202016,0.29366370796956426,1.3284091215819844,1.4790091165453036,0.040063662896801855,0.009114795669360687,0.030948867227441168,0.1783876500857633,-0.15478738435126788,-0.042322061042023795,0.04272863206030686,0.1184917479390929,0.22779216629128757,1.133741115375843,0.34305317324185247,0.026640393175307198
Nasdaq Composite,5,559,1975-01,2026-07,0.15388190700738158,-0.06745131732467942,0.022690083125463167,0.11380118653241755,0.15603706741504964,0.24215160128372615,1.7141087862234559,2.045534544247883,0.04008072047496403,0.009231055256058829,0.030849665218905198,0.18425760286225404,-0.09616265411314492,-0.028263534547470215,0.044068146141585496,0.11798206030948566,0.172604290135626,1.2406355728589917,0.35778175313059035,0.02813317376896385
Nasdaq Composite,10,499,1975-01,2026-07,0.12010930348579829,-0.03318487305417074,0.057818165170091196,0.09071836640938669,0.13837865591537923,0.17159428554355038,2.383012179589149,3.1088806115795413,0.029390937076411605,0.008960874427886178,0.020430062648525427,0.08617234468937876,-0.05508318917945998,-0.0074482762806789005,0.03876128448749361,0.1075459153765137,0.15253291806313493,1.46270769913609,0.3186372745490982,0.02510613663113115
Nasdaq Composite,15,439,1975-01,2026-07,0.11879831557085585,0.01962929105136724,0.05952049431746165,0.09295266622507992,0.11168463008948637,0.1535676439904482,3.7933272240628884,5.38613280565629,0.025845649345775934,0.00895038652456659,0.016895262821209345,0.011389521640091117,-0.020418280543901143,0.01317967439896539,0.04022296714926976,0.07382687764617313,0.129467543323728,1.8067438096965331,0.14578587699316628,0.027836846415217442
Nasdaq Composite,20,379,1975-01,2026-07,0.09679741086283888,0.04572160045150218,0.06491374740170497,0.07514578844528419,0.10766115398975296,0.15434927345443916,4.259387586277194,6.346413008173631,0.021651622417554695,0.008774379286902612,0.012877243130652083,0.0,0.008868299479115094,0.02652207373938853,0.04017529059749103,0.05850087885930255,0.09049215857982425,2.198521198920822,0.021108179419525065,0.03017401193536484
Russell 2000,1,362,1995-06,2026-07,0.10404001093492932,-0.237210100154867,-0.03802234434128263,0.07086218603115835,0.17107893992650858,0.35131987088949074,1.0708621860311585,1.1040400109349293,0.03317782490377097,0.008280300082012637,0.024897524821758332,0.32044198895027626,-0.25214234830587023,-0.059108410808344586,0.04734254151988726,0.14905945240858143,0.3336003478392407,1.0473425415198871,0.3701657458563536,0.02003731812552334
Russell 2000,3,338,1995-06,2026-07,0.10821605874451468,-0.101332299318952,0.013722170153086688,0.07568792127446855,0.11136307082252966,0.1670859769098837,1.2446833920065616,1.361047703154367,0.032528137470046126,0.008311620440584422,0.024216517029461704,0.20118343195266272,-0.1207789788232434,-0.016124921167428585,0.05687620256980497,0.09380536995165745,0.1474746471707721,1.1805173208894182,0.28402366863905326,0.021147062345178158
Russell 2000,5,314,1995-06,2026-07,0.08353059315653655,-0.028872532793877158,0.017868612779620763,0.05779497522080157,0.10130256552294076,0.1518974268655988,1.3243659437123076,1.4935049734568842,0.025735617935734978,0.008126479448674728,0.01760913848706025,0.1624203821656051,-0.049578510377922005,-0.005742727388954261,0.031919546047915914,0.08640955335941453,0.1321020299344847,1.1701202661449646,0.31210191082802546,0.02178391788647349
Russell 2000,10,254,1995-06,2026-07,0.08905778510499063,-0.0037825512609961304,0.041418855216988626,0.06464093199709442,0.08167324665397857,0.11797510212836584,1.8708279618999337,2.3469956556637497,0.024416853107896208,0.008167933388287807,0.0162489197196084,0.07480314960629922,-0.026593413677841213,0.021530247080550347,0.044857876436961486,0.06233634848711278,0.10656664330278083,1.5508655638105235,0.1968503937007874,0.01948207511088651
Russell 2000,15,194,1995-06,2026-07,0.08489508405318469,0.03260488772289878,0.04480083077263308,0.06310134748874241,0.07733348739094498,0.1028074797407003,2.503976899420197,3.394915198428901,0.02179373656444228,0.00813671313039932,0.013657023434042959,0.0,0.01104563070649095,0.023596571419344292,0.047508760067885514,0.06080283041825407,0.08269923019051424,2.0061617340195026,0.0,0.01848440149176589
Russell 2000,20,134,1995-06,2026-07,0.08242439597260487,0.04053060273785809,0.057184563595151894,0.06251943536740323,0.06961463150138375,0.07559352080820894,3.3630836447024404,4.874739964336619,0.019904960605201638,0.00811818296979494,0.011786777635406698,0.0,0.023577673867677573,0.03904489237233899,0.04358364863152686,0.04990649810684045,0.05531153555758631,2.347179174013032,0.0,0.018288203305987905
