Date,ETF a duration costante,Obbligazioni a scadenza
1988-11-01,281.25768910004433,226.87062415745422
1988-12-01,280.99747506699913,228.0684527488441
1989-01-01,283.4453602797987,229.7932277635719
1989-02-01,284.32658400841785,230.70969823024993
1989-03-01,283.50419191827865,230.75616923219587
1989-04-01,288.56323408200365,233.85621099299308
1989-05-01,295.98339217973796,239.0467972830484
1989-06-01,308.0647474360049,245.28073820628813
1989-07-01,314.85319954501244,249.02256816256298
1989-08-01,315.3132168341531,249.93007236562494
1989-09-01,315.9848148671647,250.9351971918736
1989-10-01,321.45383577561364,254.05326382029742
1989-11-01,326.2340781912259,256.85478600927416
1989-12-01,328.9472158296648,259.03525250610227
1990-01-01,324.060898858769,257.932981731707
1990-02-01,321.4534895776214,257.6929109826282
1990-03-01,321.52317226851426,258.5059076723602
1990-04-01,320.1852517612304,258.7555658079708
1990-05-01,323.07487542041594,261.5882558154884
1990-06-01,330.61121580440994,265.1659762090641
1990-07-01,333.1368573650392,266.9620385660975
1990-08-01,330.20143138528476,266.849209874491
1990-09-01,330.00217936549507,267.686810569427
1990-10-01,335.63022895317886,270.5653441160427
1990-11-01,344.42954168581133,274.50977791280184
1990-12-01,353.039532674122,278.79616594515244
1991-01-01,355.21166059737794,280.4551127738803
1991-02-01,362.6005217592314,283.59547004878266
1991-03-01,359.5024609318422,283.70425537545907
1991-04-01,363.3960906794784,285.8058741918526
1991-05-01,365.197321993873,287.78155153560874
1991-06-01,363.2311083725822,288.3701253735618
1991-07-01,365.94693478826656,290.1196161583327
1991-08-01,376.3856421340507,293.76719216661047
1991-09-01,384.4168170074234,296.786161976392
1991-10-01,389.6022348361944,299.10420585388533
1991-11-01,394.5981005959681,301.3461853427809
1991-12-01,404.88493576848816,304.46448677999035
1992-01-01,408.7444898893526,306.3400675297613
1992-02-01,403.5744415001242,306.5173736023936
1992-03-01,401.25979706412255,307.2068659274579
1992-04-01,405.21101114309175,309.06916529726055
1992-05-01,409.91016092628956,311.03113914739
1992-06-01,415.6256111908435,313.11772567055027
1992-07-01,428.7578384589745,316.2569432290314
1992-08-01,437.7840714702847,318.77318394618385
1992-09-01,444.78812360362275,320.9862787385982
1992-10-01,442.5242607476539,321.8970360104274
1992-11-01,437.42565672254744,322.39750698100704
1992-12-01,442.5980199783602,323.7177254241268
1993-01-01,449.7138805766541,325.7709247668006
1993-02-01,461.69454278756757,328.32448048473594
1993-03-01,472.2277357381512,330.7168532490417
1993-04-01,474.8779293820424,332.31439381450275
1993-05-01,475.155899810245,332.3711815334055
1993-06-01,479.9385487955347,334.11331622297496
1993-07-01,486.876565180031,336.00007768894386
1993-08-01,493.2580586014077,337.8487003488549
1993-09-01,505.7520079555704,340.08588834295756
1993-10-01,508.9888228128261,341.74064683138397
1993-11-01,498.64995049625406,342.56885399566727
1993-12-01,499.4470985450608,342.4513979303805
1994-01-01,502.48200440785746,344.08522952219283
1994-02-01,497.9392252968375,345.50665794374504
1994-03-01,484.76021672777085,346.65536370558743
1994-04-01,473.0016705212337,347.8569205473342
1994-05-01,469.7831274156681,349.12940265273085
1994-06-01,474.8581165516391,350.90967168069574
1994-07-01,471.98909904902564,352.6974707970855
1994-08-01,476.55751683078273,354.5176538131499
1994-09-01,473.2012878658728,356.7215718943545
1994-10-01,468.34965812711704,353.0950507900304
1994-11-01,465.3588597459142,350.81500523422477
1994-12-01,472.5411717300384,356.4477334260736
1995-01-01,476.4492975782869,359.2810570846423
1995-02-01,488.31329431730603,367.69449237786915
1995-03-01,499.2656320509088,375.43637223092514
1995-04-01,506.4783580589472,380.5975281091954
1995-05-01,522.8100800313093,391.0104291776059
1995-06-01,540.7018715854861,402.7284509193723
1995-07-01,539.786200118996,402.76475717919357
1995-08-01,535.6236177358649,400.78610180733125
1995-09-01,548.2010629009449,409.07738470314985
1995-10-01,556.5336802995331,414.7590308602408
1995-11-01,563.190030356751,419.4313805708796
1995-12-01,573.8414037301717,424.3840424162401
1996-01-01,578.7635642239497,427.9654986601611
1996-02-01,575.6303468073098,427.12737354139244
1996-03-01,561.9612081944716,420.4601837988564
1996-04-01,556.5901396522372,418.2337391164758
1996-05-01,551.7927694700983,415.44655854588746
1996-06-01,549.2005311106687,414.8816323800748
1996-07-01,553.6979357478874,418.01361666341876
1996-08-01,564.6735334895145,424.50050743273596
1996-09-01,561.2689325420976,423.6005007532651
1996-10-01,574.8266544497266,431.36586732152364
1996-11-01,589.7765019164705,439.7854455371048
1996-12-01,589.1617194237306,439.0362467596062
1997-01-01,582.1209500994312,436.86307896265885
1997-02-01,591.0696065274028,442.0182800592992
1997-03-01,584.4688523587262,440.06995111437936
1997-04-01,580.6296443557536,439.3412523715297
1997-05-01,590.3525699680093,443.9074751692049
1997-06-01,601.6595412490279,449.82150354577755
1997-07-01,615.0301052841762,456.55660857898613
1997-08-01,615.1629896880025,457.90719586386894
1997-09-01,621.8420239406297,461.9015481444195
1997-10-01,632.081680041983,467.31750888563795
1997-11-01,641.2398852590325,472.2988631939778
1997-12-01,647.2216677274932,473.8428114843256
1998-01-01,661.5251738491762,480.40533477568664
1998-02-01,663.3120573860149,482.62724105485535
1998-03-01,663.0131535468533,484.1342011403432
1998-04-01,666.5570376393928,486.95748697373295
1998-05-01,669.2655651029582,487.0094672911331
1998-06-01,678.8437799870936,491.6806588835388
1998-07-01,683.6962902928187,494.9283817522488
1998-08-01,692.0922484260292,499.24365189848305
