date,strat_lordo,strat_netto,nudo3x,ndx1
2016-04-12,94488.57106346216,71833.3422102987,33002.5488314526,231132.82925521772
2016-04-13,97842.41283425369,74383.04384012493,34293.583968418265,234154.9681531943
2016-04-14,97811.31759675014,74359.40421036269,34290.332411359304,234155.89936518364
2016-04-15,97107.96086924613,73824.68912329913,34030.06580069916,233571.80987694464
2016-04-18,98616.9637013154,74971.88307080351,34616.483267545336,234921.7833276639
2016-04-19,96659.82507536602,73484.0014456661,33882.97255686021,233270.8398886579
2016-04-20,96831.71667794388,73614.67913686285,33956.83145232235,233448.6365436806
2016-04-21,96827.34349640057,73611.35449936632,33963.70616968052,233472.697367089
2016-04-22,92907.78715767668,70631.57791238636,32467.84629724131,230053.40046202074
2016-04-25,92869.47464502188,70602.45147093959,32465.392134092464,230055.7898378472
2016-04-26,91650.70588634539,69675.90308173357,32003.626198804097,228973.2559991915
2016-04-27,89607.46596295397,68122.56439767047,31218.95884832301,227110.07540410658
2016-04-28,86734.46281482285,65938.41221938898,30101.605832833688,224408.66902996475
2016-04-29,85503.50844293126,65002.59992329695,29631.005668040132,223247.20629138715
2016-05-02,87543.33704269693,66553.34520611966,30449.004356219495,225309.4835911411
2016-05-03,85406.22476295309,64928.641646685326,29615.84052516391,223262.48303265643
2016-05-04,83850.25910983577,63745.74500670145,29013.518693551425,221756.86926592875
2016-05-05,83690.28378003916,63624.12646086942,28961.428748142105,221632.04808618178
2016-05-06,84709.03912470018,64398.61802612397,29377.53994332822,222701.3870865051
2016-05-09,85239.54259062377,64801.92433695645,29601.6094906917,223275.51022450233
2016-05-10,88389.9444021449,67196.96416960402,30844.503392249804,226408.3723999439
2016-05-11,86158.72177546672,65500.71480647324,29981.354017484475,224304.49901694313
2016-05-12,85175.88836527329,64753.53228592564,29604.52238814368,223372.72913777982
2016-05-13,84291.53513108024,64081.217657906695,29270.533613063482,222540.67057053838
2016-05-16,87053.66412152867,66181.07962816134,30364.477409509953,225320.96742177164
2016-05-17,83965.23019843509,63833.149837346,29158.942374137885,222347.07584940307
2016-05-18,84738.53038046802,64421.038255829415,29475.02903816748,223158.41098367397
2016-05-19,83541.90865473893,63511.32677482032,29012.32060147585,221998.61402943515
2016-05-20,85937.80291378789,65332.76496859258,29965.645933476633,224438.08820972007
2016-05-23,85498.62381137855,64998.88646455855,29803.87374629117,224042.19121834324
2016-05-24,90199.47834503166,68572.63182440678,31634.120141346426,228636.28296046684
2016-05-25,91956.98504173,69908.74664294955,32319.10604613863,230294.6684135635
2016-05-26,92587.65381159159,70388.20193639862,32567.694201808674,230893.31356935843
2016-05-27,93973.31934876382,71441.63078605132,33101.653358260715,232163.38908593322
2016-05-31,94609.96293227849,71925.6283307902,33350.25958142328,232752.86221674338
2016-06-01,94360.91599685772,71736.29459934356,33264.56487678066,232561.84995885164
2016-06-02,94997.53895005384,72220.27646023076,33512.4085177553,233147.7678391267
2016-06-03,93702.98893519907,71236.11664937965,33032.84456169574,232044.00730834794
2016-06-06,94485.35548653059,71830.89762218049,33335.76968568304,232761.6391099914
2016-06-07,93838.79329650618,71339.35962416093,33101.54927431543,232224.8473898803
