Data,MSCI Europe Momentum
10/2015,93964.92561714223
11/2015,92476.79630204527
12/2015,92012.88759884368
01/2016,87933.65211981996
02/2016,86144.53280388493
03/2016,91567.09802389363
04/2016,91424.05724464128
05/2016,92515.51339694111
06/2016,91138.19996199114
07/2016,94783.6033103116
08/2016,93225.40549664707
09/2016,95968.86578978742
10/2016,91260.48932269872
11/2016,88877.91248756154
12/2016,92142.40100286719
01/2017,95306.65001516812
02/2017,96923.79696661003
03/2017,99685.0340722239
04/2017,102670.86574021063
05/2017,107168.77702376497
06/2017,106806.85481443533
07/2017,110546.64288555675
08/2017,111494.84578674198
09/2017,115961.54731453271
10/2017,117966.6324744355
11/2017,115890.44006463865
12/2017,116514.95388770389
01/2018,124699.3228049591
02/2018,117838.20503770784
03/2018,116357.38239387324
04/2018,119485.23969777058
05/2018,117272.36886059602
06/2018,116373.88437517337
07/2018,119482.00540386769
08/2018,118951.91171558044
09/2018,119914.5272914205
10/2018,108679.81788800607
11/2018,104101.3915726577
12/2018,100169.28105423816
01/2019,106877.98567231408
02/2019,110118.63012308022
03/2019,112768.42573695273
04/2019,113999.40507878574
05/2019,111094.57240627924
06/2019,119214.46791733902
07/2019,116765.90676498605
08/2019,116086.07943378609
09/2019,117416.9441588534
10/2019,121124.94407858625
11/2019,123164.92183986468
12/2019,127910.87041459161
01/2020,128737.09085887027
02/2020,119644.21586669043
03/2020,108316.79790738823
04/2020,115390.60000873495
05/2020,123241.76583003903
06/2020,127724.69784730591
07/2020,136329.59579589008
08/2020,140326.04987658924
09/2020,138879.21092671962
10/2020,133308.78889858126
11/2020,145802.8426374368
12/2020,154885.0822325127
01/2021,154301.30398703448
02/2021,153806.17372407694
03/2021,157797.74095194475
04/2021,167356.17720625468
05/2021,171420.3153790675
06/2021,167139.5149267385
07/2021,173157.33187278602
08/2021,175684.6728700581
09/2021,166898.6190509354
10/2021,175822.42546073932
11/2021,167229.22526857033
12/2021,176203.37570573122
01/2022,161361.9682448998
02/2022,155940.1230684242
03/2022,158413.96837238292
