Data,MSCI Europe
07/2011,474609.5999999999
08/2011,427059.7
09/2011,380183.6
10/2011,426197.7
11/2011,406965.8
12/2011,400678.1000000001
01/2012,419456.7
02/2012,446022.9
03/2012,443398.8
04/2012,433239.0999999999
05/2012,380138.1
06/2012,410287.9
07/2012,414905.4
08/2012,433207.3999999999
09/2012,445997.6
10/2012,452479.9
11/2012,464230.2
12/2012,477293
01/2013,505193.2
02/2013,491221.9
03/2013,490205.2
04/2013,511470.7
05/2013,512416.5
06/2013,487684.5999999999
07/2013,523599.4
08/2013,516918.9
09/2013,554082
10/2013,577819.5
11/2013,584649.9
12/2013,597734.4
01/2014,574634.3
02/2014,616598.7
03/2014,610302.3
04/2014,625526.0000000001
05/2014,631121.2999999998
06/2014,630472.1000000001
07/2014,606639.8
08/2014,609185.7
09/2014,586313.4999999999
10/2014,570855.8
11/2014,586029.8
12/2014,560802.7
01/2015,560782.8
02/2015,595991.2
03/2015,580158.2
04/2015,605345.3
05/2015,600680
06/2015,582224.4
07/2015,600409.8
08/2015,557655.1000000001
09/2015,531622.9999999999
10/2015,569689.2
11/2015,559247
12/2015,544854.9
01/2016,508940.4000000001
02/2016,499822.9
03/2016,531197.3
04/2016,544174.1
05/2016,540975.5
06/2016,516911.6
07/2016,538553.3
08/2016,540142.4
09/2016,544847.9
10/2016,527102.6
11/2016,515637.70000000007
12/2016,542661.5
01/2017,553933.4
02/2017,560550.2000000001
03/2017,583060.4999999999
04/2017,603647.6
05/2017,632919.5
06/2017,626006.8
07/2017,644695.2
08/2017,645070.2
09/2017,666355.7000000001
10/2017,669489.0000000001
11/2017,670961.7
12/2017,681078.0999999999
01/2018,717888
02/2018,675691.5
03/2018,667561.1
04/2018,686033.3
05/2018,663509.8999999999
06/2018,659063.2
07/2018,681001.4
08/2018,661980.7
09/2018,664338.4999999999
10/2018,613638.3999999999
11/2018,607921.7
12/2018,579843.7999999999
01/2019,618044.3
02/2019,638802.6
03/2019,642699.6
04/2019,665679.1
05/2019,629207.8
06/2019,671474.2
07/2019,658466.5
08/2019,641904.7
09/2019,659374.3
10/2019,680539.4
11/2019,690707.4
12/2019,717687.9
01/2020,699641.6
02/2020,634739
03/2020,543067.7
04/2020,575277.5
05/2020,601475.8
06/2020,625934.5999999999
07/2020,649987.2999999999
08/2020,676730.2
09/2020,654180.9999999999
10/2020,617287.5
11/2020,722308.6
12/2020,756309.8
01/2021,745357
02/2021,763579.3
03/2021,787168.3
04/2021,822939.7000000002
05/2021,857241.5000000001
06/2021,845579.4
07/2021,861211.1999999998
08/2021,874226.2
09/2021,832454.5
10/2021,869951.8
11/2021,825083.2
12/2021,879572.7999999998
01/2022,839325.4999999999
02/2022,815622.4
03/2022,814776.6
04/2022,767917.4
05/2022,773661.8
06/2022,696701.9
07/2022,731185.3
08/2022,685634
09/2022,626008.8
10/2022,670875.7
11/2022,747022.5
12/2022,747115.8
01/2023,811925.7
02/2023,806890.5
03/2023,826017.4000000001
04/2023,860324.8
05/2023,809851.3
06/2023,848636.7
07/2023,874659.8
08/2023,839961.8
09/2023,806585.2
10/2023,776465.4
11/2023,853097.5
12/2023,895714.2
01/2024,894666.3
02/2024,908593.8
03/2024,942557.4
04/2024,924707.5999999999
05/2024,969497.5
06/2024,947715.9
07/2024,968064.5
08/2024,1006226.3000000002
09/2024,1010110.8
10/2024,950596.2
11/2024,934583.4
12/2024,911738.8000000002
01/2025,974514.9
02/2025,1010315.6000000001
03/2025,1007272.7999999998
04/2025,1051321.1
05/2025,1099267.5999999996
06/2025,1121887.4
07/2025,1101916
08/2025,1139845.7
09/2025,1162455.9000000001
10/2025,1171054.4
11/2025,1188216.5999999996
12/2025,1234564.6
01/2026,1289488.5000000002
02/2026,1331681.6
03/2026,1199784.6
04/2026,1284899.2
05/2026,1318639.2
06/2026,1330977
07/2026,1352394.2999999998
