date,NAV_1x_gross,NAV_2x_gross,NAV_3x_gross,NAV_1x_real,NAV_2x_real,NAV_3x_real
1984-01-31,2.659074,6.114176,12.163964,2.648327,5.012593,8.479463
1984-02-29,2.564985,5.677651,10.851664,2.554517,4.645627,7.537787
1984-03-31,2.609978,5.870636,11.386567,2.599213,4.793270,7.878684
1984-04-30,2.633806,5.972143,11.665100,2.622839,4.866670,8.042936
1984-05-31,2.487538,5.322323,9.800286,2.477071,4.327806,6.730718
1984-06-30,2.541082,5.544693,10.395116,2.530285,4.499433,7.112837
1984-07-31,2.509409,5.402649,9.985188,2.498642,4.375200,6.806962
1984-08-31,2.787603,6.646714,13.565351,2.775516,5.370740,9.210517
1984-09-30,2.787224,6.638712,13.522058,2.775034,5.354359,9.150310
1984-10-31,2.798548,6.684321,13.636204,2.786181,5.379089,9.190096
1984-11-30,2.766608,6.525991,13.134623,2.754268,5.240936,8.819174
1984-12-31,2.838806,6.863085,14.141279,2.826031,5.500955,9.461675
1985-01-31,3.060900,7.966092,17.641899,3.046994,6.371476,11.758483
1985-02-28,3.097128,8.149759,18.235497,3.082942,6.506345,12.113411
1985-03-31,3.099246,8.154410,18.229423,3.084921,6.496761,12.064475
1985-04-30,3.095968,8.133420,18.146523,3.081529,6.466800,11.965074
1985-05-31,3.275218,9.094861,21.430669,3.259802,7.215838,14.076035
1985-06-30,3.325758,9.370766,22.388422,3.309972,7.420298,14.653284
1985-07-31,3.321321,9.339031,22.250554,3.305413,7.379343,14.506470
1985-08-31,3.293381,9.176774,21.652589,3.277464,7.235606,14.061724
1985-09-30,3.189241,8.598208,19.612192,3.173706,6.766851,12.693681
1985-10-31,3.337649,9.408466,22.418436,3.321240,7.388031,14.451404
1985-11-30,3.566082,10.730292,27.267186,3.548410,8.409715,17.515541
1985-12-31,3.738632,11.779366,31.305064,3.719951,9.213139,20.035260
1986-01-31,3.759979,11.891021,31.657262,3.741027,9.280574,20.181993
1986-02-28,4.039846,13.712066,39.137469,4.019333,10.682212,24.867948
1986-03-31,4.264799,15.260864,45.859720,4.242975,11.865777,29.037157
1986-04-30,4.216894,14.883263,44.004993,4.195132,11.547388,27.754332
1986-05-31,4.441221,16.486473,51.200213,4.418118,12.765259,32.173531
1986-06-30,4.516296,17.021122,53.580588,4.492616,13.152350,33.544732
1986-07-31,4.263875,15.133865,44.748986,4.241333,11.668893,27.905864
1986-08-31,4.580175,17.440680,55.259194,4.555771,13.420268,34.333618
1986-09-30,4.200939,14.606789,42.058036,4.178381,11.216483,26.033248
1986-10-31,4.444927,16.336569,49.672777,4.420858,12.516848,30.622708
1986-11-30,4.551950,17.102604,53.065566,4.527130,13.079610,32.604909
1986-12-31,4.436064,16.222663,48.932285,4.411683,12.380043,29.948094
1987-01-31,5.033748,20.837731,70.978836,5.005875,15.869853,43.282992
1987-02-28,5.231281,22.473842,79.335960,5.202119,17.084392,48.217773
1987-03-31,5.382721,23.746587,85.912082,5.352481,18.013386,52.012399
1987-04-30,5.333982,23.220388,82.545843,5.303795,17.578200,49.788641
1987-05-31,5.378649,23.551978,84.003604,5.347997,17.794552,50.489054
1987-06-30,5.650297,25.963279,97.074556,5.617852,19.574607,58.120002
1987-07-31,5.937079,28.642152,112.341882,5.902730,21.548301,67.001264
1987-08-31,6.158042,30.759398,124.696793,6.122160,23.094053,74.095350
1987-09-30,6.022851,29.349943,115.790297,5.987508,21.990722,68.546967
1987-10-31,4.725146,16.387370,39.308389,4.697210,12.251158,23.172301
1987-11-30,4.334147,13.691870,29.701584,4.308351,10.215904,17.446298
1987-12-31,4.664824,15.752329,36.276393,4.636857,11.728270,21.226134
1988-01-31,4.867078,16.981681,39.986199,4.837708,12.619047,23.314416
1988-02-29,5.084511,18.496955,45.325480,5.053628,13.718415,26.334773
1988-03-31,4.930111,17.361222,41.109364,4.899942,12.847206,23.787739
1988-04-30,4.990199,17.723134,42.166745,4.959466,13.089524,24.313468
1988-05-31,5.020954,17.897506,42.632757,4.989824,13.191315,24.491038
1988-06-30,5.253758,19.549820,48.501447,5.220957,14.378437,27.754777
1988-07-31,5.239694,19.408521,47.841262,5.206774,14.246733,27.280212
1988-08-31,5.053832,18.030846,42.748609,5.021850,13.205754,24.276793
1988-09-30,5.270099,19.584013,48.305492,5.236531,14.314107,27.331394
1988-10-31,5.422470,20.699420,52.365005,5.387708,15.098543,29.518823
1988-11-30,5.335831,20.015779,49.688587,5.301403,14.570012,27.905961
1988-12-31,5.430134,20.716586,52.272294,5.394872,15.049396,29.248429
1989-01-31,5.832990,23.881392,64.604191,5.794872,17.313248,36.015926
1989-02-28,5.678554,22.606644,59.393794,5.641232,16.358716,32.999599
1989-03-31,5.814034,23.667249,63.496444,5.775570,17.089625,35.142433
1989-04-30,6.121454,26.211328,73.900903,6.080715,18.890018,40.757475
1989-05-31,6.354540,28.215506,82.407552,6.311975,20.291026,45.273357
1989-06-30,6.321838,27.885863,80.793300,6.279217,20.011030,44.213935
1989-07-31,6.897676,33.163407,104.623667,6.850903,23.752323,57.055438
1989-08-31,7.024186,34.343983,110.034928,6.976237,24.542935,59.763279
1989-09-30,6.995348,34.043809,108.505683,6.947320,24.281076,58.724435
1989-10-31,6.837774,32.330439,99.451696,6.790531,23.009568,53.614185
1989-11-30,6.969503,33.559522,105.041826,6.921062,23.835607,56.418384
1989-12-31,7.136717,35.156105,112.467015,7.086833,24.921114,60.193868
1990-01-31,6.664645,30.569352,90.786172,6.617771,21.623031,48.399341
1990-02-28,6.738800,31.221867,93.566793,6.691152,22.043810,49.714611
1990-03-31,6.922432,32.912678,101.113587,6.873186,23.187981,53.516484
1990-04-30,6.754415,31.304178,93.656341,6.706098,22.011730,49.393841
1990-05-31,7.397033,37.493617,122.520591,7.343800,26.307922,64.368743
1990-06-30,7.351095,36.979105,119.761793,7.297888,25.893870,62.685772
1990-07-31,7.332577,36.744957,118.392427,7.279201,25.677339,61.739091
1990-08-31,6.662667,30.158403,87.240888,6.613864,21.027095,45.306882
1990-09-30,6.339554,27.249676,74.702248,6.292880,18.963761,38.663907
1990-10-31,6.319455,26.956513,73.010345,6.272643,18.717744,37.634531
1990-11-30,6.719511,30.403713,87.138953,6.669458,21.068489,44.752177
1990-12-31,6.906469,32.093607,94.392234,6.854752,22.196366,48.306741
1991-01-31,7.216627,34.932065,106.698005,7.162275,24.107975,54.393411
1991-02-28,7.721619,39.896345,129.772646,7.663176,27.483475,65.936815
1991-03-31,7.913465,41.846619,139.123275,7.853259,28.771014,70.439012
