Data,MSCI ACWI IMI
12/2006,28226.073714398062
01/2007,28535.697902656553
02/2007,28435.371177676603
03/2007,29017.827887396907
04/2007,30274.174371904774
05/2007,31205.824255038962
06/2007,31097.789691468013
07/2007,30601.710703285662
08/2007,30456.603620499733
09/2007,32016.333128415088
10/2007,33287.97046680793
11/2007,31749.398507737485
12/2007,31377.20664184763
01/2008,28794.893478918908
02/2008,28911.384820862975
03/2008,28468.91743875077
04/2008,30018.598671256004
05/2008,30563.826832640047
06/2008,28043.488436681826
07/2008,27340.795686106856
08/2008,26794.818584940695
09/2008,23397.78376236141
10/2008,18664.609162654124
11/2008,17402.395983186303
12/2008,18090.671642955444
01/2009,16566.111098975514
02/2009,14944.032354198589
03/2009,16185.056778997234
04/2009,18192.83951156644
05/2009,20013.324886956903
06/2009,19937.30749907163
07/2009,21703.151476191517
08/2009,22529.10723257389
09/2009,23605.458522778692
10/2009,23186.8635962216
11/2009,24099.29069161469
12/2009,24678.22114319417
01/2010,23665.124058754333
02/2010,23989.7582484795
03/2010,25575.794266241857
04/2010,25733.44609037831
05/2010,23286.31655812241
06/2010,22542.83779524611
07/2010,24363.76005217614
08/2010,23496.42537283159
09/2010,25806.124455068293
10/2010,26751.473695050452
11/2010,26239.666971443552
12/2010,28218.365875807063
01/2011,28616.42737000434
02/2011,29457.830009392954
03/2011,29493.52947234072
04/2011,30691.17780142486
05/2011,30030.425678648666
06/2011,29532.068665295694
07/2011,29042.886164273707
08/2011,26869.774974801298
09/2011,24248.51694320229
10/2011,26874.67428920934
11/2011,26068.31579045913
12/2011,25991.95513850705
01/2012,27574.433692304327
02/2012,28961.251728022522
03/2012,29146.115030909372
04/2012,28824.539011961195
05/2012,26241.601732547366
06/2012,27490.084349342964
07/2012,27813.127042031127
08/2012,28452.69041013815
09/2012,29371.982786867342
10/2012,29175.666946478887
11/2012,29540.899913559868
12/2012,30250.208298876903
01/2013,31676.90737799303
02/2013,31707.270644993183
03/2013,32338.62688132113
04/2013,33197.099106577254
05/2013,33154.128686578064
06/2013,32185.905577416972
07/2013,33769.97562825127
08/2013,33067.002025258
09/2013,34849.47870670582
10/2013,36208.648382134044
11/2013,36723.88774640899
12/2013,37374.62279959932
01/2014,35982.374950460755
02/2014,37736.641566782026
03/2014,37870.48334701189
04/2014,38105.96249684042
05/2014,38874.34350747224
06/2014,39702.20281913417
07/2014,39092.31618989368
08/2014,39997.97162142343
09/2014,38579.3236449651
10/2014,38883.424402330456
11/2014,39459.234271484434
12/2014,38808.46801246986
01/2015,38206.32042764462
02/2015,40342.79597944161
03/2015,39809.8317069898
04/2015,40903.00293646807
05/2015,40930.15200356995
06/2015,40023.341956542776
07/2015,40255.794141418555
08/2015,37556.02225599386
09/2015,36183.83975185129
10/2015,38921.90118363691
11/2015,38681.11704368504
12/2015,37959.85682767832
01/2016,35581.19287383798
02/2016,35395.54942534475
03/2016,38073.009146427095
04/2016,38674.657438064234
05/2016,38753.45214430822
06/2016,38475.345838547306
07/2016,40188.8576483915
08/2016,40323.5731917005
09/2016,40617.90652607403
10/2016,39831.613372319815
11/2016,40265.12468287082
12/2016,41132.709008809405
01/2017,42246.632111417275
02/2017,43411.0462376698
03/2017,43925.224603920076
04/2017,44630.97552527204
05/2017,45521.714572807876
06/2017,45790.427925468
07/2017,47046.36873426056
08/2017,47212.758189188426
09/2017,48224.76306977935
10/2017,49200.007489397816
11/2017,50165.82775009128
12/2017,50983.888432937136
01/2018,53733.12154980607
02/2018,51489.85966740833
03/2018,50527.65928232846
04/2018,50999.522550888905
05/2018,51200.58167656412
06/2018,50893.26671930049
07/2018,52303.208270791656
08/2018,52783.746758495006
09/2018,52867.62801409255
10/2018,48731.98253722075
11/2018,49420.570255232444
12/2018,45844.94450044157
01/2019,49575.53837848296
02/2019,50954.898222204196
03/2019,51480.84118419862
04/2019,53183.43095555355
05/2019,49998.90779615108
06/2019,53214.32472156604
07/2019,53374.90989318247
08/2019,52028.940281414114
09/2019,53120.17674978858
10/2019,54582.54408602822
11/2019,55942.30667211729
12/2019,57926.40418407692
01/2020,57159.926728724655
02/2020,52481.95523212453
03/2020,44928.959941083405
04/2020,49877.23628738068
05/2020,52170.770752653276
06/2020,53838.78447073362
07/2020,56635.98093948255
08/2020,60064.34640961389
09/2020,58202.54452290976
10/2020,56942.5157511398
11/2020,64151.65406471465
12/2020,67340.4212162158
01/2021,67221.5270258041
02/2021,69009.65196144208
03/2021,70798.52583686222
04/2021,73871.67540949842
05/2021,74973.4594464711
06/2021,75878.61558481275
07/2021,76261.72948919187
08/2021,78149.08894596087
09/2021,75033.62427563481
10/2021,78683.70712709821
11/2021,76571.54091239588
12/2021,79611.39387055201
01/2022,75480.52288479122
02/2022,73753.34292392332
03/2022,75257.9629462043
