Price,Close,High,Low,Open,Volume
Ticker,RACE.MI,RACE.MI,RACE.MI,RACE.MI,RACE.MI
Date,,,,,
2026-05-21,298.20001220703125,299.45001220703125,294.1000061035156,294.79998779296875,681485
2026-05-22,301.54998779296875,304.6000061035156,298.8500061035156,301.5,542108
2026-05-25,310.0,310.25,303.8500061035156,304.3999938964844,318078
2026-05-26,284.04998779296875,293.54998779296875,283.54998779296875,290.0,1892781
2026-05-27,283.75,292.75,281.5,283.0,1208484
2026-05-28,293.6499938964844,296.79998779296875,284.04998779296875,284.54998779296875,900973
2026-05-29,295.20001220703125,301.5,292.70001220703125,294.5,1157651
2026-06-01,298.6000061035156,302.45001220703125,291.3999938964844,293.1000061035156,784126
2026-06-02,304.75,307.8999938964844,299.3999938964844,300.3999938964844,666014
2026-06-03,297.29998779296875,303.8999938964844,297.0,303.6000061035156,501326
2026-06-04,301.70001220703125,305.1499938964844,295.20001220703125,297.5,483972
2026-06-05,300.3999938964844,305.1000061035156,298.45001220703125,300.6499938964844,351982
2026-06-08,305.70001220703125,307.95001220703125,298.3500061035156,299.29998779296875,485442
2026-06-09,308.54998779296875,314.0,304.29998779296875,305.29998779296875,512781
2026-06-10,303.8999938964844,314.45001220703125,303.8999938964844,309.95001220703125,509651
2026-06-11,310.29998779296875,314.3500061035156,299.3999938964844,302.5,626053
2026-06-12,306.8500061035156,318.5,305.1000061035156,316.1499938964844,598140
2026-06-15,319.3500061035156,323.29998779296875,315.79998779296875,316.20001220703125,884610
2026-06-16,318.79998779296875,322.54998779296875,317.6000061035156,319.3500061035156,370227
2026-06-17,310.70001220703125,317.0,307.29998779296875,316.5,581347
2026-06-18,313.3500061035156,314.6499938964844,308.6000061035156,310.0,513666
2026-06-19,307.5,317.45001220703125,307.5,315.6000061035156,1131768
2026-06-22,306.20001220703125,310.0,302.04998779296875,309.54998779296875,556023
2026-06-23,301.70001220703125,304.8999938964844,297.45001220703125,301.0,400627
2026-06-24,307.5,310.1499938964844,302.95001220703125,303.45001220703125,332423
2026-06-25,312.3500061035156,313.79998779296875,305.3999938964844,308.1000061035156,475641
2026-06-26,322.1499938964844,323.25,308.5,313.20001220703125,668620
2026-06-29,323.95001220703125,326.8500061035156,322.25,323.6000061035156,593711
2026-06-30,324.3500061035156,325.79998779296875,318.70001220703125,323.6499938964844,673760
2026-07-01,331.5,332.0,322.8999938964844,326.6000061035156,612080
2026-07-02,333.1499938964844,336.25,327.6000061035156,330.0,614539
2026-07-03,331.1499938964844,336.3500061035156,331.1499938964844,336.29998779296875,368288
2026-07-06,338.5,341.1499938964844,334.5,336.0,676229
2026-07-07,339.3500061035156,349.79998779296875,339.25,343.3999938964844,933665
2026-07-08,327.6000061035156,337.3500061035156,325.8500061035156,336.79998779296875,649143
2026-07-09,327.45001220703125,329.1499938964844,323.5,328.6000061035156,362141
2026-07-10,331.0,333.3999938964844,329.20001220703125,330.20001220703125,287378
2026-07-13,327.95001220703125,332.6499938964844,327.29998779296875,328.1000061035156,217007
2026-07-14,324.5,328.0,322.45001220703125,326.0,319726
2026-07-15,329.1499938964844,330.25,320.54998779296875,323.0,345307
2026-07-16,334.04998779296875,334.04998779296875,327.3500061035156,328.1499938964844,345843
2026-07-17,328.8500061035156,336.3999938964844,328.6499938964844,333.0,546478
2026-07-20,326.8999938964844,331.5,324.95001220703125,327.6000061035156,251442
2026-07-21,325.0,327.0,321.79998779296875,324.70001220703125,266610
2026-07-22,326.70001220703125,329.20001220703125,321.0,322.45001220703125,310421
2026-07-23,315.45001220703125,327.0,315.45001220703125,325.29998779296875,442221
2026-07-24,318.1499938964844,318.1499938964844,312.8500061035156,315.0,299702
2026-07-27,331.79998779296875,332.8500061035156,321.1499938964844,321.1499938964844,518589
2026-07-28,341.3500061035156,341.3500061035156,334.5,335.25,513757
2026-07-29,339.79998779296875,344.45001220703125,333.45001220703125,344.0,768942
2026-07-30,343.6499938964844,356.20001220703125,331.79998779296875,334.8500061035156,1040465
2026-07-31,340.1000061035156,349.3500061035156,338.1499938964844,346.1499938964844,624155
2026-08-03,346.6499938964844,354.75,342.54998779296875,342.6499938964844,705928
2026-08-04,348.20001220703125,350.54998779296875,344.75,348.6000061035156,410237
2026-08-05,352.5,353.54998779296875,348.8999938964844,349.1499938964844,471817
2026-08-06,355.70001220703125,361.5,352.8500061035156,354.0,778290
2026-08-07,355.6499938964844,357.6499938964844,354.1499938964844,355.20001220703125,415360
2026-08-10,352.8500061035156,357.75,350.3500061035156,357.75,259147
2026-08-11,355.6000061035156,357.54998779296875,351.20001220703125,352.29998779296875,281174
2026-08-12,351.6000061035156,356.70001220703125,350.54998779296875,356.70001220703125,410872
2026-08-13,355.25,358.6499938964844,352.1499938964844,353.79998779296875,393716
2026-08-14,356.79998779296875,361.54998779296875,356.1499938964844,358.29998779296875,359610
2026-08-17,361.6499938964844,364.29998779296875,357.3500061035156,357.45001220703125,541592
2026-08-18,357.3999938964844,360.95001220703125,356.25,360.0,312704
2026-08-19,362.5,363.70001220703125,354.79998779296875,357.0,301709
2026-08-20,364.1499938964844,367.75,361.29998779296875,367.75,342922
2026-08-21,371.1000061035156,372.8500061035156,365.67498779296875,367.6000061035156,506706
